No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
NOLSM419168463,2,Etching,273.95505,1433.768409,3655.973192,5701.877175,71.950391,51.16787,1.028892,27,53,23-02-2026
NOLSM214562373,3,Etching,139.915865,1375.186515,3643.946518,5730.944859,71.69254,51.335531,1.033981,27,54,23-02-2026
NOLSM56025268209,2,Etching,362.057251,1554.796736,3657.979042,5683.938477,72.387725,51.396752,1.025043,7,1,23-02-2026
NOLSM500781847663,1,Etching,180.437199,1438.179318,3637.941872,5720.023973,72.416999,50.401957,1.042213,7,2,23-02-2026
NOLSM428502385,1,Etching,396.984531,1530.484054,3654.948208,5712.879295,71.49556,51.128871,1.033916,7,3,23-02-2026
NOLSM07175754499,2,Etching,228.020943,1479.373772,3665.897943,5696.743601,68.895075,51.159959,1.025044,7,4,23-02-2026
NOLSM7677618658,3,Etching,256.951272,1483.322359,3657.064271,5702.941607,69.716807,51.613656,1.026131,7,5,23-02-2026
NOLSM010924037500,3,Etching,372.497467,1545.775552,3649.001493,5719.052273,71.314627,51.798395,1.071951,7,6,23-02-2026
NOLSM9772623832,2,Etching,372.72907,1518.380604,3624.094711,5686.08774,70.346846,51.798941,1.046215,7,7,23-02-2026
NOLSM643731951204,1,Etching,287.464801,1411.514499,3697.976418,5709.042681,70.462864,52.081116,1.038078,7,8,23-02-2026
NOLSM16417533,1,Etching,229.66924,1442.24226,3644.164896,5716.043438,70.859185,51.428639,1.024933,7,9,23-02-2026
NOLSM262495535,2,Etching,520.827153,1492.299168,3666.078546,5746.103797,70.463695,51.04444,1.015972,7,10,23-02-2026
NOLSM6631620198,3,Etching,377.940345,1585.174074,3644.917349,5704.982752,71.559194,50.767787,1.023096,7,11,23-02-2026
NOLSM75501320763,2,Etching,332.49753,1598.092351,3652.957414,5715.970114,71.415847,51.227937,1.04692,7,12,23-02-2026
NOLSM83090003013,1,Etching,409.397509,1420.338173,3663.12491,5725.820895,70.730508,51.761388,1.007898,7,13,23-02-2026
NOLSM768535368,1,Etching,357.956634,1338.922673,3653.958119,5716.044484,69.643859,51.53257,1.025964,7,14,23-02-2026
NOLSM2100268160,3,Etching,171.596895,1312.623272,3660.205868,5720.947654,69.778774,50.418542,1.042929,7,15,23-02-2026
NOLSM547106577,3,Etching,265.806044,1428.148018,3642.099869,5692.028966,70.469982,51.063267,1.03714,7,16,23-02-2026
NOLSM758617863,1,Etching,366.211674,1283.400379,3652.007752,5723.986661,69.717376,52.00457,1.040973,7,17,23-02-2026
NOLSM33873776,1,Etching,635.345613,1483.399818,3642.021465,5723.036741,71.679538,51.297318,1.022937,7,18,23-02-2026
NOLSM576431783,2,Etching,415.987936,1562.559302,3654.110032,5722.830807,71.111943,51.820113,1.040873,7,19,23-02-2026
NOLSM41645377452,3,Etching,356.232359,1482.000404,3677.181082,5740.018012,69.369787,51.093996,1.021878,7,20,23-02-2026
NOLSM88236125,3,Etching,315.050312,1520.50731,3644.045733,5698.963211,70.937438,51.359598,1.032861,7,21,23-02-2026
NOLSM7030175812,2,Etching,368.570262,1283.955892,3690.003699,5729.031745,72.381103,50.796146,1.037158,7,22,23-02-2026
NOLSM85241697,1,Etching,495.273967,1510.027328,3640.980551,5737.10015,69.228605,50.721871,1.027059,7,23,23-02-2026
NOLSM269065763,1,Etching,348.713338,1429.93742,3638.993516,5709.873595,69.730309,50.689546,1.048114,7,24,23-02-2026
NOLSM2388140317,2,Etching,181.751075,1515.909489,3672.012502,5698.009957,70.801629,50.976872,1.004131,7,25,23-02-2026
NOLSM43444262122,3,Etching,596.622848,1448.442706,3659.983261,5742.959148,71.363566,50.745215,1.039012,7,26,23-02-2026
NOLSM29438767436,3,Etching,490.143932,1598.410774,3692.989499,5740.019612,69.195291,51.266248,1.037973,7,27,23-02-2026
NOLSM57616543,2,Etching,,,,,72.288286,51.788593,1.045114,27,1,23-02-2026
NOLSM16924775,3,Etching,172.44291,1360.724647,3658.890177,5707.950913,71.801912,51.777559,1.045104,27,2,23-02-2026
NOLSM180103344725,3,Etching,287.983416,1434.834287,3657.855079,5705.019914,71.80585,52.014834,1.050022,27,3,23-02-2026
NOLSM21708693258,2,Etching,243.648412,1406.251174,3665.126331,5727.925212,72.183523,51.967135,1.048893,27,4,23-02-2026
NOLSM39481140,1,Etching,266.131689,1584.312019,3655.010193,5732.099333,71.818395,51.220653,1.031019,27,5,23-02-2026
NOLSM918167560360,1,Etching,214.030515,1511.191968,3644.93026,5714.892843,71.3509,51.299994,1.031968,27,6,23-02-2026
NOLSM053248999249,2,Etching,248.711945,1438.584957,3646.013984,5733.008622,71.142663,50.905193,1.022823,27,7,23-02-2026
NOLSM893094059960,3,Etching,262.315131,1522.761276,3649.052459,5709.029976,71.162013,51.191896,1.029985,27,8,23-02-2026
NOLSM380874563,3,Etching,306.358438,1451.731302,3650.065013,5686.216809,71.282371,50.984485,1.0249,27,9,23-02-2026
NOLSM5514263055,2,Etching,248.380734,1417.2425,3649.034549,5725.888786,71.709739,50.983473,1.024866,27,10,23-02-2026
NOLSM7259181291,1,Etching,165.934274,1420.102137,3640.126863,5705.051612,71.216541,50.990766,1.024971,27,11,23-02-2026
NOLSM04047771,1,Etching,252.441871,1476.301581,3642.896654,5696.02166,71.034112,51.199732,1.029984,27,12,23-02-2026
NOLSM40654005969,2,Etching,237.840916,1438.336029,3646.974869,5690.970749,71.530893,51.138171,1.027983,27,13,23-02-2026
NOLSM083419712,3,Etching,134.873808,1352.167538,3638.931098,5684.079998,71.066643,51.30879,1.033038,27,14,23-02-2026
NOLSM81536598893,3,Etching,146.862449,1362.064435,3643.902788,5732.975362,71.523905,51.16941,1.029042,27,15,23-02-2026
NOLSM17971306,1,Etching,148.948432,1330.033894,3645.096955,5731.96036,71.718799,51.144964,1.029006,27,16,23-02-2026
NOLSM78824559755,1,Etching,185.876291,1361.760327,3641.053393,5724.916279,71.07157,50.82103,1.02099,27,17,23-02-2026
NOLSM67262700598,2,Etching,315.928626,1360.874092,3655.03853,5709.947639,71.879139,50.839182,1.021112,27,18,23-02-2026
NOLSM35405822139,3,Etching,228.978299,1542.301391,3656.072043,5740.968991,71.855129,51.089763,1.02692,27,19,23-02-2026
NOLSM1029584244,1,Etching,226.925036,1495.086319,3652.957925,5706.175633,71.970322,51.168741,1.028868,27,20,23-02-2026
NOLSM646841473192,1,Etching,230.075508,1376.663615,3654.845004,5706.060408,72.109474,51.179131,1.03002,27,21,23-02-2026
NOLSM87777705,2,Etching,241.835104,1365.630186,3649.954821,5739.026885,71.77999,51.098947,1.026871,27,22,23-02-2026
NOLSM87201165178,3,Etching,221.325552,1465.23484,3649.775357,5693.068555,71.880407,51.123721,1.027999,27,23,23-02-2026
NOLSM03373319635,3,Etching,175.515197,1430.703113,3647.038834,5696.065416,71.852919,51.068473,1.027067,27,24,23-02-2026
NOLSM6523948536,2,Etching,361.24725,1420.135966,3660.989465,5725.9409,72.407216,51.134358,1.027973,27,25,23-02-2026
NOLSM343381577,1,Etching,275.015843,1434.714992,3655.89972,5702.010512,71.952258,51.172513,1.028979,27,26,23-02-2026
NOLSM6936955177,1,Etching,140.669464,1373.294158,3643.863461,5730.956954,71.691777,51.3335,1.034107,27,27,23-02-2026
NOLSM6878851626,1,Etching,362.462907,1531.19492,3689.940651,5718.026964,71.175713,51.697374,1.031974,8,28,24-02-2026
NOLSM99155884,2,Etching,362.71786,1372.582342,3644.062742,5726.205453,71.283936,51.747757,1.006975,8,29,24-02-2026
NOLSM876752677062,3,Etching,429.761629,1429.269778,3641.867922,5712.927238,71.168534,51.209161,1.041994,8,30,24-02-2026
NOLSM178225905,1,Etching,207.420179,1475.234128,3667.047849,5716.828212,71.15884,51.979525,1.003179,8,31,24-02-2026
NOLSM23820266407,2,Etching,213.065018,1548.26433,3662.009376,5712.097249,71.11813,50.941869,1.019935,8,32,24-02-2026
NOLSM799919230,3,Etching,446.942046,1508.921572,3655.992243,5714.101199,71.255766,51.879059,1.020005,8,33,24-02-2026
NOLSM42915760325,1,Etching,455.911114,1431.139356,3653.984764,5693.049537,71.409619,51.995154,1.058878,8,34,24-02-2026
NOLSM86874864,2,Etching,508.672133,1345.891432,3635.907896,5698.059012,71.284685,51.006842,1.038886,8,35,24-02-2026
NOLSM90860047,3,Etching,462.130715,1470.189244,3632.995781,5707.046071,72.069839,51.011854,1.031074,8,36,24-02-2026
NOLSM59755341,1,Etching,314.483806,1380.718003,3656.981087,5722.014954,71.606035,50.805878,1.062933,8,37,24-02-2026
NOLSM2445457135,2,Etching,343.764369,1564.377532,3654.020218,5703.986329,71.249218,51.148136,1.037027,8,38,24-02-2026
NOLSM40821864530,3,Etching,369.126241,1601.179911,3645.946442,5698.989805,71.55019,51.2313,1.019966,8,39,24-02-2026
NOLSM80924685263,1,Etching,417.440619,1430.783671,3661.93494,5694.991547,70.393094,51.17779,1.010209,8,40,24-02-2026
NOLSM6636101372,2,Etching,401.006588,1451.084168,3671.029458,5702.977171,71.256207,52.515761,1.07607,8,41,24-02-2026
NOLSM558838519,3,Etching,314.02817,1518.3757,3652.948591,5736.186494,71.097733,51.132887,1.026007,8,42,24-02-2026
NOLSM5173477530,1,Etching,331.280207,1358.841114,3684.055317,5735.025796,70.578569,50.646429,1.028033,8,43,24-02-2026
NOLSM67810349045,2,Etching,263.696021,1442.847424,3701.944052,5727.934079,71.730586,51.150586,1.034892,8,44,24-02-2026
NOLSM6532429885,3,Etching,287.092259,1445.175467,3659.971142,5723.986645,69.301428,51.525788,1.002022,8,45,24-02-2026
NOLSM533193791801,1,Etching,360.367868,1455.732804,3655.999358,5714.209268,70.939337,51.144969,1.031967,8,46,24-02-2026
NOLSM562844387,2,Etching,451.37506,1521.777378,3640.107963,5729.87925,71.383845,51.040416,1.042119,8,47,24-02-2026
NOLSM33182369773,3,Etching,343.133794,1379.694022,3667.980014,5693.928455,71.14903,50.147913,1.038997,8,48,24-02-2026
NOLSM055517441,1,Etching,467.123467,1536.14254,3693.094835,5699.961153,72.080979,50.512917,0.995933,8,49,24-02-2026
NOLSM88583010789,2,Etching,-49.199389,1434.831579,3664.927099,5737.85494,69.897328,50.486042,1.023124,8,50,24-02-2026
NOLSM51582814169,3,Etching,352.498747,1415.033829,3635.806494,5707.011749,70.201647,51.512035,1.023948,8,51,24-02-2026
NOLSM64339799,1,Etching,378.532281,1382.137192,3642.795581,5715.064543,70.451943,51.900336,1.029911,8,52,24-02-2026
NOLSM990418697,2,Etching,364.537347,1524.926649,3643.975201,5719.924756,70.421188,51.466716,1.025018,8,53,24-02-2026
NOLSM56687036,3,Etching,242.150397,1442.17659,3640.877025,5728.130841,71.752794,52.094965,1.027974,8,54,24-02-2026
NOLSM7623676588,1,Etching,233.570462,1397.243811,3655.761966,5745.032019,72.256908,51.483177,1.036976,28,28,24-02-2026
NOLSM6750051701,2,Etching,209.174784,1438.969624,3650.996779,5697.935535,72.306532,51.799499,1.044899,28,29,24-02-2026
NOLSM59116447683,3,Etching,269.648247,1436.5258,3651.09954,5701.992068,71.926582,51.230319,1.029924,28,30,24-02-2026
NOLSM312006426,1,Etching,259.939733,1617.238619,3660.961215,5731.207688,72.487488,51.294007,1.031972,28,31,24-02-2026
NOLSM207168511,2,Etching,312.058484,1563.437695,3657.007153,5707.983656,71.864776,51.600693,1.039865,28,32,24-02-2026
NOLSM97833190,3,Etching,264.653342,1320.093863,3655.076554,5694.034437,72.072609,51.530473,1.037957,28,33,24-02-2026
NOLSM399717003,1,Etching,210.306379,1477.225498,3654.945676,5716.114913,71.929565,51.813769,1.045075,28,34,24-02-2026
NOLSM41618827,2,Etching,201.809755,1433.303309,3649.106338,5727.005028,71.58589,51.839785,1.045975,28,35,24-02-2026
NOLSM3204309777,3,Etching,317.925328,1708.981755,3669.92316,5722.117139,72.633197,51.821956,1.044849,28,36,24-02-2026
NOLSM5684859993,1,Etching,161.555593,1468.25374,3652.004757,5716.978056,72.03306,51.690036,1.042076,28,37,24-02-2026
NOLSM009424407448,2,Etching,150.613094,1465.892362,3647.961239,5711.005147,71.776503,51.50509,1.037871,28,38,24-02-2026
NOLSM026004859185,3,Etching,249.765246,1390.254927,3661.985717,5736.986466,72.454692,51.520408,1.038047,28,39,24-02-2026
NOLSM425391288599,1,Etching,236.896615,1561.018172,3664.162825,5739.014627,72.785759,51.406425,1.035032,28,40,24-02-2026
NOLSM34958470,2,Etching,256.381078,1663.679643,3655.945125,5723.969258,72.264261,51.406788,1.034879,28,41,24-02-2026
NOLSM909564059459,3,Etching,283.932078,1573.24051,3668.861613,5713.133126,72.753001,51.384161,1.034963,28,42,24-02-2026
NOLSM252134982,1,Etching,308.16676,1526.098095,3668.156634,5705.973768,72.683244,51.338208,1.033087,28,43,24-02-2026
NOLSM5456247391,2,Etching,319.618709,1481.188597,3658.010813,5712.052604,71.359037,51.033472,1.025961,28,44,24-02-2026
NOLSM12339895838,3,Etching,169.269417,1588.755067,3657.964741,5731.047837,72.659122,51.231482,1.030875,28,45,24-02-2026
NOLSM8542424418,1,Etching,268.250139,1441.509679,3644.909144,5730.012433,71.917188,51.246901,1.031083,28,46,24-02-2026
NOLSM371709024536,2,Etching,233.909219,1440.805739,3656.019632,5708.825661,72.257337,51.180674,1.028965,28,47,24-02-2026
NOLSM111847440,3,Etching,300.942556,1401.643519,3646.141375,5730.050923,72.871672,51.198398,1.030116,28,48,24-02-2026
NOLSM25170870981,1,Etching,268.994667,1480.878499,3647.866617,5709.914466,72.894099,50.996426,1.024987,28,49,24-02-2026
NOLSM1719106194,2,Etching,290.351032,1391.175734,3654.853898,5722.065189,71.399533,50.453037,1.010987,28,50,24-02-2026
NOLSM222532123537,3,Etching,250.17989,1383.370291,3654.954679,5730.078492,72.10815,50.784874,1.020008,28,51,24-02-2026
NOLSM2273019125,1,Etching,238.645368,1495.80284,3642.879464,5749.004494,72.919832,51.323087,1.03301,28,52,24-02-2026
NOLSM08091268278,2,Etching,269.137284,1462.020603,3658.979478,5711.836981,72.146654,51.1153,1.02789,28,53,24-02-2026
NOLSM633353486,3,Etching,319.911628,1418.178954,3667.990266,5730.871118,72.138355,50.886493,1.02189,28,54,24-02-2026
NOLSM467812196111,2,Etching,361.719072,1530.289076,3689.925112,5718.100085,70.942206,51.70015,1.031905,8,1,24-02-2026
NOLSM30126905223,1,Etching,362.765099,1373.045384,3643.756566,5725.895976,70.420807,51.757283,1.007141,8,2,24-02-2026
NOLSM362776145939,1,Etching,430.050783,1428.794693,3642.039175,5713.065684,71.795448,51.212505,1.041879,8,3,24-02-2026
NOLSM861012129838,2,Etching,208.262329,1474.438066,3667.1556,5716.950181,72.668251,51.977263,1.002944,8,4,24-02-2026
NOLSM2049913112,3,Etching,213.060162,1549.397298,3661.977029,5712.03405,72.473063,50.940105,1.020007,8,5,24-02-2026
NOLSM319156956052,3,Etching,446.925324,1509.878416,3656.062238,5714.0098,70.59282,51.880377,1.01993,8,6,24-02-2026
NOLSM73979339,2,Etching,456.803969,1431.318339,3653.953708,5692.981538,72.772897,51.997743,1.059055,8,7,24-02-2026
NOLSM58497739884,1,Etching,509.557997,1344.832994,3635.988315,5698.042895,70.125165,51.011957,1.03899,8,8,24-02-2026
NOLSM278388672426,1,Etching,462.625132,1471.120402,3633.083019,5707.090075,72.070925,51.013928,1.030985,8,9,24-02-2026
NOLSM2809296221,2,Etching,314.753247,1380.699774,3656.996351,5721.942058,71.603178,50.807885,1.06308,8,10,24-02-2026
NOLSM39518694,3,Etching,344.422787,1564.262305,3654.177343,5704.013066,71.251761,51.148275,1.036841,8,11,24-02-2026
NOLSM96163302441,3,Etching,367.271191,1600.727475,3646.042177,5698.942141,71.546644,51.237137,1.019893,8,12,24-02-2026
NOLSM08056206295,2,Etching,418.313393,1431.010363,3661.823307,5695.064978,70.39148,51.180159,1.010091,8,13,24-02-2026
NOLSM535937816884,1,Etching,399.944256,1451.468786,3671.064769,5703.080927,71.254693,52.513694,1.075918,8,14,24-02-2026
NOLSM57010419,1,Etching,314.628563,1517.644604,3652.912877,5735.953074,71.099301,51.133235,1.025918,8,15,24-02-2026
NOLSM306741706,3,Etching,332.119969,1359.070277,3684.02016,5735.038456,70.582615,50.649037,1.02807,8,16,24-02-2026
NOLSM55411844,3,Etching,264.377112,1443.311563,3702.117777,5728.089472,71.722438,51.143069,1.034904,8,17,24-02-2026
NOLSM043219131,2,Etching,288.165579,1445.119923,3659.91933,5723.936851,69.294595,51.53415,1.001975,8,18,24-02-2026
NOLSM28627865347,1,Etching,361.157955,1455.482797,3656.134972,5713.934826,70.92801,51.139032,1.031957,8,19,24-02-2026
NOLSM1267068227,1,Etching,453.035774,1521.742102,3640.040038,5730.013764,71.382231,51.041442,1.04206,8,20,24-02-2026
NOLSM74233756852,3,Etching,342.638734,1379.932449,3667.893156,5693.891873,71.152256,50.146402,1.039062,8,21,24-02-2026
NOLSM229109032487,3,Etching,467.643488,1535.543525,3692.983031,5700.034017,72.076798,50.514213,0.996025,8,22,24-02-2026
NOLSM84734242445,2,Etching,-48.923855,1434.684138,3665.062824,5738.026339,69.891269,50.487054,1.023098,8,23,24-02-2026
NOLSM09505172,1,Etching,352.354981,1414.512891,3635.93688,5707.101877,70.198739,51.514209,1.023916,8,24,24-02-2026
NOLSM553419979,1,Etching,378.573317,1381.609851,3642.90739,5715.125694,70.45229,51.89231,1.029956,8,25,24-02-2026
NOLSM560460182,2,Etching,362.794932,1526.048759,3643.85137,5719.952271,70.414555,51.463291,1.025179,8,26,24-02-2026
NOLSM43124130,3,Etching,241.664534,1442.144874,3640.958887,5728.010572,71.757178,52.098489,1.028053,8,27,24-02-2026
NOLSM62975504290,2,Etching,234.76158,1397.668553,3656.04856,5744.992776,72.249666,51.481398,1.03707,28,1,24-02-2026
NOLSM99935828346,3,Etching,208.406522,1439.141688,3650.985674,5698.028042,72.307943,51.800069,1.045072,28,2,24-02-2026
NOLSM777295689,3,Etching,269.380093,1437.177083,3651.011803,5701.896661,71.924304,51.224434,1.030113,28,3,24-02-2026
NOLSM347053441,2,Etching,261.20725,1616.912425,3660.966606,5731.056317,72.482628,51.299031,1.032087,28,4,24-02-2026
NOLSM340514578,1,Etching,311.727066,1563.168622,3656.918133,5708.067436,71.860354,51.603672,1.039961,28,5,24-02-2026
NOLSM543116460041,1,Etching,264.794303,1320.222689,3655.048668,5693.977098,72.070772,51.53108,1.03789,28,6,24-02-2026
NOLSM0199657697,2,Etching,208.845943,1476.217996,3655.069401,5715.835284,71.92531,51.81123,1.045089,28,7,24-02-2026
NOLSM5690062245,3,Etching,201.721954,1433.000365,3648.941424,5726.949799,71.584859,51.835452,1.046139,28,8,24-02-2026
NOLSM252482544,3,Etching,316.841759,1493.508223,3670.049619,5721.9637,72.639818,51.817366,1.045088,28,9,24-02-2026
NOLSM5508407664,2,Etching,161.832774,1447.089111,3651.975515,5716.991831,72.022848,51.693337,1.04205,28,10,24-02-2026
NOLSM88742702,1,Etching,149.900751,1334.025794,3647.931544,5710.985309,71.779473,51.50229,1.038133,28,11,24-02-2026
NOLSM63645696666,1,Etching,250.200576,1530.437981,3662.139531,5736.881897,72.447622,51.522303,1.038035,28,12,24-02-2026
NOLSM2611235799,2,Etching,237.234058,1488.305289,3664.016461,5739.014182,72.780352,51.405611,1.034901,28,13,24-02-2026
NOLSM11352544174,3,Etching,257.573114,1423.816906,3656.066068,5724.066662,72.26094,51.411169,1.03506,28,14,24-02-2026
NOLSM1688068501,3,Etching,285.421184,1390.979413,3669.027473,5712.954893,72.755521,51.381248,1.035038,28,15,24-02-2026
NOLSM31712389074,2,Etching,307.032553,1532.839446,3667.939735,5705.986527,72.676605,51.335449,1.032982,28,16,24-02-2026
NOLSM797812034071,1,Etching,320.042608,1342.47721,3658.013971,5711.996084,71.363229,51.032944,1.02601,28,17,24-02-2026
NOLSM14881126,1,Etching,170.020672,1464.745239,3668.131925,5731.111709,72.656991,51.237784,1.031142,28,18,24-02-2026
NOLSM2052030019,2,Etching,269.582598,1474.780525,3655.985092,5729.953655,71.930588,51.247019,1.031062,28,19,24-02-2026
NOLSM199753202,3,Etching,233.16249,1363.653005,3663.907579,5709.023554,72.258109,51.170168,1.029072,28,20,24-02-2026
NOLSM84540903276,3,Etching,300.999014,1357.833109,3667.995773,5730.047232,72.869606,51.191932,1.029949,28,21,24-02-2026
NOLSM6796913522,2,Etching,269.33016,1480.792439,3669.090845,5709.968908,72.881971,50.998464,1.024864,28,22,24-02-2026
NOLSM04097159,1,Etching,287.978507,1390.49451,3654.079193,5721.917683,71.394324,50.442589,1.011068,28,23,24-02-2026
NOLSM493023111,1,Etching,250.064071,1383.59742,3657.938445,5729.989874,72.103808,50.787819,1.019906,28,24,24-02-2026
NOLSM0915294073,2,Etching,238.697106,1496.078494,3672.103508,5748.819664,72.919846,51.324993,1.033081,28,25,24-02-2026
NOLSM31249563,3,Etching,269.148632,1461.457332,3659.096206,5712.021606,72.148882,51.121558,1.027872,28,26,24-02-2026
NOLSM263786771,2,Etching,319.093791,1418.584619,3668.074939,5730.926907,72.133143,50.88492,1.022051,28,27,24-02-2026
NOLSM53494686,1,Etching,465.622262,1634.623514,3635.885686,5723.942346,71.301889,51.379095,1.010104,9,28,25-02-2026
NOLSM39935780,2,Etching,246.51446,1628.248725,3643.845139,5707.170254,72.661834,52.002029,1.028071,9,29,25-02-2026
NOLSM76829424,3,Etching,400.452108,1392.013258,3703.209198,5717.018221,71.870712,51.12348,1.028991,9,30,25-02-2026
NOLSM035167033,1,Etching,465.261525,1525.965326,3660.985943,5700.971964,71.037068,51.660637,1.051108,9,31,25-02-2026
NOLSM438610805135,2,Etching,485.933087,1574.024728,3658.926724,5692.983384,72.592032,51.401989,1.046967,9,32,25-02-2026
NOLSM524162077268,3,Etching,488.295015,1654.536068,3658.957068,5724.048176,70.279526,51.823154,1.031966,9,33,25-02-2026
NOLSM1966843733,1,Etching,368.074896,1464.212241,3655.019069,5730.99478,71.401879,51.156593,1.022111,9,34,25-02-2026
NOLSM10368890466,2,Etching,252.081799,1521.360359,3644.861446,5724.907978,71.877696,51.542457,1.031904,9,35,25-02-2026
NOLSM593289370,3,Etching,413.986012,1705.28576,3638.047221,5708.986645,71.420504,50.909918,1.027949,9,36,25-02-2026
NOLSM50347321393,1,Etching,317.029452,1456.539558,3663.031222,5724.005678,69.842623,51.968476,1.041963,9,37,25-02-2026
NOLSM946814982015,2,Etching,148.852499,1438.358517,3671.014492,5704.045773,69.269019,53.272187,1.050035,9,38,25-02-2026
NOLSM003355950986,3,Etching,566.405882,1479.183468,3674.077647,5746.083633,71.329414,50.712201,1.062067,9,39,25-02-2026
NOLSM6115623266,1,Etching,340.329601,1579.9931,3649.965259,5722.935594,72.202392,52.102044,1.046923,9,40,25-02-2026
NOLSM64093611019,2,Etching,286.636115,1545.143879,3671.053045,5701.05472,71.544356,50.722309,1.025983,9,41,25-02-2026
NOLSM7700935712,3,Etching,434.426234,1533.573993,3642.874907,5691.985908,71.87944,50.851068,1.023026,9,42,25-02-2026
NOLSM316377698,1,Etching,223.066184,1520.009628,3676.973856,5714.995838,70.911408,51.179448,1.034037,9,43,25-02-2026
NOLSM69903184235,2,Etching,454.790474,1352.678844,3673.033885,5703.898654,70.643404,51.175608,1.023209,9,44,25-02-2026
NOLSM067668368,3,Etching,435.265612,1597.10169,3626.92683,5697.876123,70.337784,51.834063,1.008139,9,45,25-02-2026
NOLSM143748829553,1,Etching,210.117919,1398.868992,3653.031823,5717.972004,71.718597,51.487119,1.045965,9,46,25-02-2026
NOLSM9206496072,2,Etching,378.766758,1475.925702,3651.870793,5710.048457,72.338019,51.429126,1.039977,9,47,25-02-2026
NOLSM22981352996,3,Etching,148.367198,1455.066783,3722.926302,5718.980243,71.241373,50.960431,0.990045,9,48,25-02-2026
NOLSM213377457043,1,Etching,385.22261,1517.016291,3680.863879,5693.014849,69.664965,51.512951,1.047086,9,49,25-02-2026
NOLSM19056478138,2,Etching,330.263203,1459.885107,3659.073708,5728.791775,71.401394,50.321809,1.027032,9,50,25-02-2026
NOLSM252425948257,3,Etching,226.836133,1496.355377,3632.918952,5699.024111,69.712485,50.760722,1.031024,9,51,25-02-2026
NOLSM670837969,1,Etching,181.534374,1584.510766,3656.0076,5706.089718,70.408002,52.376054,1.022078,9,52,25-02-2026
NOLSM031796750,2,Etching,301.950689,1429.144183,3671.94028,5693.943709,70.653799,51.461647,1.026035,9,53,25-02-2026
NOLSM859007577796,3,Etching,495.931537,1384.6251,3691.12471,5721.044275,68.919417,52.136948,1.056949,9,54,25-02-2026
NOLSM381892134,1,Etching,309.564109,1423.814423,3665.087971,5722.010023,71.690881,50.541098,1.014018,29,28,25-02-2026
NOLSM094849895,2,Etching,315.711156,1471.908534,3663.029179,5700.929299,72.083191,50.811477,1.020053,29,29,25-02-2026
NOLSM3302208080,3,Etching,307.706849,1463.895624,3666.158901,5710.973945,72.196424,50.809091,1.020072,29,30,25-02-2026
NOLSM156021781,1,Etching,316.362046,1440.265047,3662.983311,5733.061671,71.262599,50.834727,1.021015,29,31,25-02-2026
NOLSM983485988,2,Etching,524.485552,1614.478322,3681.919364,5728.91139,71.673116,50.764848,1.01908,29,32,25-02-2026
NOLSM98447938662,3,Etching,104.474934,1278.70306,3609.086329,5691.09822,68.650935,50.192074,1.004994,29,33,25-02-2026
NOLSM64206596131,1,Etching,111.69489,1284.144574,3612.87981,5679.118036,69.114291,50.384305,1.009889,29,34,25-02-2026
NOLSM11320180,2,Etching,147.421726,1409.377886,3632.003954,5695.954347,71.003571,50.543117,1.013991,29,35,25-02-2026
NOLSM61144399,3,Etching,159.270469,1328.095888,3632.025675,5686.025361,70.909275,50.333441,1.00781,29,36,25-02-2026
NOLSM239314449051,1,Etching,165.207464,1379.666219,3649.032894,5739.048213,72.358244,49.967675,0.999037,29,37,25-02-2026
NOLSM44414231387,2,Etching,106.051238,1380.989237,3644.110093,5723.863273,72.016088,49.897484,0.997925,29,38,25-02-2026
NOLSM200523070451,3,Etching,186.732505,1295.421301,3633.157957,5726.026617,70.855757,49.90014,0.997858,29,39,25-02-2026
NOLSM33400680,1,Etching,129.020523,1345.457657,3638.940428,5699.769803,71.527638,50.298801,1.006888,29,40,25-02-2026
NOLSM551836527,2,Etching,179.442321,1376.923783,3644.030297,5688.040386,71.16765,50.044769,1.001035,29,41,25-02-2026
NOLSM20104912,3,Etching,211.183667,1384.438683,3643.038914,5688.894537,71.60085,50.420291,1.009906,29,42,25-02-2026
NOLSM434956803,1,Etching,190.153136,1482.219191,3647.058585,5711.087602,71.724441,50.827604,1.02095,29,43,25-02-2026
NOLSM84703800326,2,Etching,175.419216,1384.859412,3644.042483,5729.951934,71.297482,50.375008,1.009019,29,44,25-02-2026
NOLSM2091930076,3,Etching,202.67489,1473.000302,3646.939854,5736.951895,71.486406,50.832082,1.020923,29,45,25-02-2026
NOLSM352732356637,1,Etching,312.829179,1371.731285,3647.958406,5740.009872,72.157017,50.837549,1.021022,29,46,25-02-2026
NOLSM784333536,2,Etching,224.03206,1272.723282,3638.868239,5713.942807,71.527983,50.983602,1.024089,29,47,25-02-2026
NOLSM497665669191,3,Etching,332.557859,1407.758624,3640.920129,5726.934956,71.297957,50.744718,1.01898,29,48,25-02-2026
NOLSM696640187,1,Etching,269.53762,1360.110524,3642.908293,5721.094269,71.421641,50.839228,1.02101,29,49,25-02-2026
NOLSM058723258,2,Etching,216.639723,1360.191029,3644.978015,5731.03833,71.495887,50.802558,1.020147,29,50,25-02-2026
NOLSM931775780810,3,Etching,235.739641,1521.211635,3658.106955,5698.087279,71.521862,50.667836,1.017027,29,51,25-02-2026
