No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
NOLSM16316404,1,Photo,0.738105,17.375129,14.97482,20.003984,205.090937,89.999998,505.120737,4102.3306,5128.333057,5.13036,93.04885,29.994992,23,15,19-02-2026
NOLSM26574187596,1,Photo,1.05426,16.317645,15.039396,19.994944,203.924311,89.999004,503.947383,4078.846016,5098.390923,5.09736,93.163969,29.997001,23,16,19-02-2026
NOLSM62561239,1,Photo,0.812963,17.143501,14.953698,20.000986,204.21835,89.999999,504.214863,4084.669935,5105.540041,5.111192,93.081687,30.004036,23,17,19-02-2026
NOLSM84688002,2,Photo,1.049951,17.664083,15.003574,20.001992,203.659864,89.999998,503.616275,4072.067712,5090.486219,5.090462,92.813846,30.013002,23,18,19-02-2026
NOLSM900430321,2,Photo,0.428909,16.5148,14.969482,20.000006,203.328975,89.998998,503.282322,4065.53017,5082.201554,5.086167,92.905411,30.004025,23,19,19-02-2026
NOLSM06349405,3,Photo,0.93259,16.203673,14.993052,19.997991,203.705979,90.000004,503.705035,4073.553157,5092.348259,5.09265,92.748145,29.997023,23,20,19-02-2026
NOLSM816543353454,3,Photo,1.054923,16.674869,15.042365,20.000002,203.285861,90.000997,503.302014,4066.059156,5082.491299,5.100159,93.219734,30.016009,23,21,19-02-2026
NOLSM96630730,3,Photo,0.790919,16.701145,14.970052,19.999974,204.213316,89.998996,504.225673,4084.241862,5105.413384,5.104386,93.226079,30.000973,23,22,19-02-2026
NOLSM737728201591,1,Photo,1.095158,16.968626,14.84059,19.997006,204.318603,89.999003,504.335207,4086.731074,5108.820094,5.111203,93.529648,30.005008,23,23,19-02-2026
NOLSM04987220,1,Photo,0.988069,16.860003,14.969886,19.999019,204.875369,89.999993,504.891008,4097.515702,5122.731762,5.123483,93.387145,30.00506,23,24,19-02-2026
NOLSM0704863881,1,Photo,0.931707,17.274627,14.937762,20.000016,204.583814,90.000002,504.57073,4091.766457,5114.96536,5.120189,93.827753,30.002006,23,25,19-02-2026
NOLSM953766984,2,Photo,0.551711,16.886598,15.023861,20.000006,205.646561,90.001005,505.595921,4113.105026,5141.712744,5.134065,93.548215,30.00298,23,26,19-02-2026
NOLSM51587897,2,Photo,0.760657,16.646919,15.064944,20.000977,204.864094,89.999995,504.855525,4097.017849,5121.808185,5.129967,93.669823,29.992972,23,27,19-02-2026
NOLSM7555290395,1,Photo,1.122783,15.517823,14.893074,20.001025,197.130678,90.000995,502.416995,4046.294166,4869.411395,5.048889,93.679592,29.996957,4,28,20-02-2026
NOLSM9166330189,1,Photo,1.626025,15.460126,14.914811,20.002002,197.616831,90.000002,507.184701,4137.168722,5019.31421,5.007539,92.986527,30.011998,4,29,20-02-2026
NOLSM68915252,1,Photo,1.179547,16.432052,14.997751,20.004019,197.95025,90.000993,501.281695,4083.472678,4976.754638,4.989939,92.688594,30.013938,4,30,20-02-2026
NOLSM3958116113,1,Photo,1.22653,15.245095,15.127123,19.998972,199.020756,89.999996,503.413347,3980.686323,5001.966767,5.022179,92.93466,30.004999,4,31,20-02-2026
NOLSM71731965,1,Photo,1.81287,15.577295,14.976075,19.993067,198.377713,89.998996,501.419132,4052.836705,4994.795006,4.942286,91.777017,29.995953,4,32,20-02-2026
NOLSM401702143,1,Photo,1.896493,15.090659,15.115434,19.997034,198.791658,90.000006,501.064331,4104.034163,5050.767996,4.9375,93.261475,30.007023,4,33,20-02-2026
NOLSM647353100734,1,Photo,0.701861,16.537017,14.9759,20.001994,202.061685,90.000002,501.581749,4001.977346,5009.255038,5.040985,89.435307,29.999985,4,34,20-02-2026
NOLSM7677591500,1,Photo,1.597651,18.28177,14.928148,20.002998,203.193078,90.000007,497.066626,3944.19213,4955.850926,4.99323,91.803436,29.995963,4,35,20-02-2026
NOLSM2240956923,1,Photo,1.313751,14.774614,15.00254,19.996019,202.405523,89.999997,500.16991,4061.245594,4931.647984,5.178977,92.238507,30.005992,4,36,20-02-2026
NOLSM999920799,1,Photo,1.153639,16.139707,14.954406,19.997008,202.774234,89.999999,501.365792,4022.757552,5101.494356,5.132079,89.75237,30.003007,4,37,20-02-2026
NOLSM076638510,1,Photo,1.677012,14.782548,15.195422,20.000008,202.854462,90.000007,496.49292,4001.55091,4998.704545,5.119578,94.657332,29.996051,4,38,20-02-2026
NOLSM83423738,1,Photo,1.782332,16.706032,14.958047,19.990998,197.493256,90.000992,501.654556,4054.12251,5067.4465,5.046093,91.80765,30.005041,4,39,20-02-2026
NOLSM51968526,1,Photo,1.25554,15.293916,15.039897,19.993982,202.267404,90.000997,495.965293,3957.433129,5040.844623,4.863055,90.871972,29.999006,4,40,20-02-2026
NOLSM024625409570,1,Photo,1.320976,16.723406,14.894969,20.002009,202.315238,89.999998,500.455966,4087.830322,4931.914938,4.940686,91.74099,29.995962,4,41,20-02-2026
NOLSM318977343,1,Photo,1.405211,13.760213,15.035748,19.990011,203.619605,89.999005,502.263077,4025.445473,4946.201844,4.992927,93.027915,30.011966,4,42,20-02-2026
NOLSM817109282869,1,Photo,1.154799,15.040845,15.195917,20.001981,198.022342,90.000004,503.443222,4037.195302,5071.953335,5.013787,90.078697,30.010009,4,43,20-02-2026
NOLSM94828489,1,Photo,1.42236,13.461049,14.798409,19.999985,202.107233,89.999995,498.506599,4014.497341,5026.825531,4.983592,92.519257,30.001039,4,44,20-02-2026
NOLSM66768856,1,Photo,0.799823,15.738497,14.90622,20.002992,199.504917,89.999003,495.419325,3985.817854,5047.75159,5.057821,94.429593,30.009976,4,45,20-02-2026
NOLSM800254189,1,Photo,1.283148,13.389759,15.180619,19.999997,194.795133,90.001005,494.519424,4047.4822,5026.938165,5.100392,92.812252,30.000985,4,46,20-02-2026
NOLSM34793435275,1,Photo,1.784625,17.693851,15.054714,19.999999,197.438573,90.000996,498.28217,3955.500046,4927.636641,5.035116,93.800523,30.00802,4,47,20-02-2026
NOLSM419961064,1,Photo,1.215262,13.299776,15.130006,19.995015,202.186814,90.001008,505.871144,4062.78489,4917.400349,4.978745,90.636854,29.99702,4,48,20-02-2026
NOLSM33968101,1,Photo,1.431469,18.059232,14.957357,20.00101,199.069487,90.001,502.410263,4071.536605,5190.432625,4.868566,92.21694,29.996051,4,49,20-02-2026
NOLSM953004060019,1,Photo,1.441514,13.004819,15.084852,19.994046,205.952908,89.999993,502.723526,3985.777872,4960.7845,4.932675,92.236497,30.011031,4,50,20-02-2026
NOLSM0897414503,1,Photo,0.753858,15.45988,15.18158,19.996995,194.402197,90.000993,502.136067,3978.947249,5044.338753,4.922413,92.302859,30.001017,4,51,20-02-2026
NOLSM14033598,1,Photo,1.12331,15.20628,14.986247,20.000051,197.800834,90.000004,499.301807,4056.34951,4900.584435,5.020362,94.288546,29.990016,4,52,20-02-2026
NOLSM8569195511,1,Photo,1.016863,16.098968,15.021062,19.995014,205.904406,89.998998,505.753672,4029.072983,5034.432633,4.995454,90.470474,30.001998,4,53,20-02-2026
NOLSM904714794,1,Photo,1.06252,18.534373,14.881597,19.994993,203.541703,90.000996,494.880725,3971.054423,4989.302915,5.018922,93.632784,29.99698,4,54,20-02-2026
NOLSM254334181,3,Photo,0.953538,17.533613,15.0617,19.999993,205.187316,89.999999,505.202158,4103.17925,5129.385452,5.133924,93.181194,29.996992,24,28,20-02-2026
NOLSM198296353,3,Photo,1.038756,16.243615,14.939862,19.992972,195.564071,89.999997,504.154298,4083.447165,5104.890465,5.087433,93.160315,29.995921,24,29,20-02-2026
NOLSM602205876,3,Photo,0.954501,17.620903,15.031625,20.001018,196.386375,89.999995,503.979344,4079.542832,5099.372574,5.109083,93.080627,29.996026,24,30,20-02-2026
NOLSM758299836,3,Photo,0.868279,17.044004,15.049744,19.999999,196.586536,90.000003,503.744024,4074.547606,5093.802737,5.092777,93.089458,29.997022,24,31,20-02-2026
NOLSM811828451781,3,Photo,0.755786,16.564376,14.964286,19.998989,197.564649,90.000008,504.037023,4080.147554,5100.324625,5.104061,93.015815,29.993977,24,32,20-02-2026
NOLSM480896329,3,Photo,0.872752,16.736581,14.896048,20.00103,198.007465,89.999004,503.864688,4077.748391,5096.898341,5.093502,93.136496,29.988959,24,33,20-02-2026
NOLSM5021821310,3,Photo,1.053083,16.762109,14.953892,20.000006,197.172977,89.999997,503.605827,4071.904574,5090.703249,5.083811,92.829928,30.004936,24,34,20-02-2026
NOLSM799182772,3,Photo,0.624055,17.556289,15.014004,20.005987,197.921079,90.0,506.997525,4139.77174,5175.210799,5.15628,93.65918,29.998997,24,35,20-02-2026
NOLSM5030284432,3,Photo,0.970572,17.39621,14.956134,20.003999,197.124838,89.999998,505.164031,4103.289111,5128.822778,5.144159,93.214214,30.004955,24,36,20-02-2026
NOLSM373754333838,3,Photo,1.125808,17.485831,15.04735,19.994993,197.60071,89.999995,504.170203,4083.45598,5104.127644,5.124023,93.629219,30.016007,24,37,20-02-2026
NOLSM959692720941,3,Photo,0.925146,17.002046,14.919708,20.000009,197.90228,89.999993,505.116915,4102.403577,5127.917882,5.134468,93.940153,29.990049,24,38,20-02-2026
NOLSM598030071,3,Photo,0.948841,16.920376,15.025322,19.994985,199.038484,90.000002,505.399354,4108.278995,5135.139807,5.114284,92.892248,29.993993,24,39,20-02-2026
NOLSM73234002,3,Photo,0.692874,16.716044,14.89825,19.996985,198.398934,89.999003,504.508819,4089.989058,5113.16911,5.110821,92.860016,30.010046,24,40,20-02-2026
NOLSM16063957,3,Photo,0.950423,16.36016,14.99615,19.995986,198.76303,90.000998,503.341009,4066.719126,5083.872612,5.100127,92.625045,29.997007,24,41,20-02-2026
NOLSM58357821,3,Photo,0.893647,16.18826,15.019824,19.999023,203.170524,90.000001,503.136994,4063.302202,5079.023141,5.073828,92.812518,29.994972,24,42,20-02-2026
NOLSM07881864687,3,Photo,0.868689,16.646577,15.058272,20.000987,203.345427,90.000997,503.355553,4066.574117,5083.828127,5.081968,92.434546,29.999962,24,43,20-02-2026
NOLSM305255318129,3,Photo,0.892633,16.917328,14.956874,19.998018,202.244425,89.999994,502.265428,4044.85661,5056.572191,5.064867,92.631,29.987988,24,44,20-02-2026
NOLSM60804628,3,Photo,1.000588,16.172156,14.994293,19.997003,203.154816,90.000996,503.139515,4063.009935,5079.455867,5.071266,92.353986,29.999029,24,45,20-02-2026
NOLSM246342898691,3,Photo,0.954638,16.637021,15.022958,20.003999,202.013771,89.999998,502.005789,4039.962037,5049.989053,5.062648,92.42309,29.994043,24,46,20-02-2026
NOLSM4823053012,3,Photo,0.727554,17.033783,15.03276,20.002011,202.262563,89.999999,502.264686,4045.683899,5057.219038,5.065329,92.612987,29.998965,24,47,20-02-2026
NOLSM76307328,3,Photo,1.115176,17.131584,15.055354,20.001996,201.992528,89.999997,502.005779,4039.216367,5050.301229,5.052942,92.386854,29.999002,24,48,20-02-2026
NOLSM338143848,3,Photo,0.877592,17.347391,14.949844,20.002981,202.383849,89.999996,502.317747,4046.510265,5058.469355,5.05941,93.040219,29.985021,24,49,20-02-2026
NOLSM8182300087,3,Photo,0.667703,16.092922,15.074876,19.999019,203.94976,89.998994,503.946935,4079.031474,5099.164445,5.086811,92.571455,30.001986,24,50,20-02-2026
NOLSM482268510109,3,Photo,1.082614,19.018197,14.926498,19.998021,202.389949,90.000003,502.386815,4047.88441,5060.930185,5.066161,92.505232,30.004972,24,51,20-02-2026
NOLSM897627119,3,Photo,0.974224,18.910055,15.065086,20.00402,202.590999,89.999997,502.575109,4052.017728,5064.731909,5.065202,92.2606,30.000025,24,52,20-02-2026
NOLSM6076349030,3,Photo,1.059383,13.790598,14.963104,20.001009,198.930649,89.998994,498.935577,4001.652759,4973.668888,4.974622,90.079097,30.000005,24,53,20-02-2026
NOLSM90663127,3,Photo,1.367017,18.768461,14.965947,20.005013,197.453152,89.998998,497.469031,4054.554822,4936.747252,4.922318,89.468263,30.000983,24,54,20-02-2026
NOLSM759883009415,3,Photo,0.692842,15.494453,14.892668,20.001018,195.150874,90.000997,500.396561,4046.877271,4869.821643,5.048886,93.695992,29.996981,4,1,20-02-2026
NOLSM57469536,1,Photo,1.593344,15.466587,14.915382,20.002015,201.034552,89.999996,500.141705,4136.67087,5019.132546,5.008233,92.984562,30.012001,4,2,20-02-2026
NOLSM899646214,1,Photo,0.85077,16.465695,14.997871,20.004008,201.552785,90.000001,500.662082,4083.728913,4978.061666,4.989988,92.675241,30.014065,4,3,20-02-2026
NOLSM47386967572,1,Photo,1.087022,15.269778,15.126617,19.999016,197.826542,90.000003,497.38276,3981.394448,5002.828,5.022084,92.928034,30.004954,4,4,20-02-2026
NOLSM905081161,2,Photo,1.403929,15.564157,14.976026,19.99304,202.085959,90.000997,502.676962,4052.440871,4995.10378,4.941967,91.790778,29.996042,4,5,20-02-2026
NOLSM756659886,2,Photo,0.375867,15.085761,15.116742,19.997001,193.118021,89.999997,500.115874,4104.008834,5050.733648,4.937158,93.255243,30.006974,4,6,20-02-2026
NOLSM92204318,2,Photo,0.699682,16.551046,14.976011,20.002,195.174464,89.999993,495.120385,4002.529663,5009.926453,5.041144,89.430371,30.000035,4,7,20-02-2026
NOLSM7540320451,3,Photo,1.59142,18.29184,14.927802,20.002989,201.985198,90.000001,503.666087,3944.098437,4956.606655,4.992775,91.812813,29.99599,4,8,20-02-2026
NOLSM5384315916,3,Photo,1.315085,14.762094,15.003688,19.995993,196.990578,90.000002,503.103601,4061.022479,4931.582076,5.178949,92.232735,30.00599,4,9,20-02-2026
NOLSM8475972249,1,Photo,1.156216,16.141346,14.954129,19.996987,195.836156,90.0,504.134524,4022.929606,5101.849536,5.131743,89.761681,30.002995,4,10,20-02-2026
NOLSM7971390339,1,Photo,1.680197,14.782179,15.19611,20.000035,199.59976,90.0,503.193011,4065.342077,4999.387639,5.119047,94.641672,29.995989,4,11,20-02-2026
NOLSM21880597,1,Photo,1.781393,16.720929,14.958447,19.991009,197.525363,90.000993,500.383665,4057.531335,5067.626834,5.046836,91.808589,30.005019,4,12,20-02-2026
NOLSM8150626384,2,Photo,1.251494,15.287913,15.040112,19.994018,202.268985,89.999996,499.334012,4025.997661,5041.04972,4.862768,90.875348,29.998979,4,13,20-02-2026
NOLSM7512796950,2,Photo,1.318588,16.752285,14.893743,20.001993,202.286755,89.999996,505.17819,4095.965314,4932.279533,4.940906,91.734616,29.99604,4,14,20-02-2026
NOLSM24662396,2,Photo,1.399978,13.749305,15.036014,19.989999,203.594153,90.0,499.058081,4031.81073,4945.972223,4.992973,93.026902,30.012024,4,15,20-02-2026
NOLSM867558348,3,Photo,1.15749,15.02397,15.195313,20.001989,198.042294,90.000001,500.577936,4016.528807,5070.809654,5.013598,90.075096,30.010008,4,16,20-02-2026
NOLSM36895789,3,Photo,1.423369,13.473911,14.7983,20.000024,202.09603,90.001001,500.403757,4040.31421,5026.693945,4.983031,92.536042,30.001022,4,17,20-02-2026
NOLSM07106988256,1,Photo,0.799869,15.757045,14.905651,20.003007,199.519088,90.000001,497.886015,4096.585294,5047.832707,5.058472,94.439917,30.009982,4,18,20-02-2026
NOLSM817631745,1,Photo,1.285221,13.391383,15.18125,19.999971,194.785507,89.999994,496.398524,4031.449919,5025.577415,5.100884,92.804783,30.000981,4,19,20-02-2026
NOLSM6907380159,1,Photo,1.782077,17.703939,15.0557,20.000017,197.422665,89.999996,499.152503,3988.260549,4927.392515,5.035176,93.809502,30.007969,4,20,20-02-2026
NOLSM0379485055,2,Photo,1.214915,13.274343,15.130109,19.995008,202.173447,89.999999,501.372378,3975.491597,4917.490563,4.978863,90.628466,29.997024,4,21,20-02-2026
NOLSM575413949316,2,Photo,1.430056,18.026086,14.95798,20.001003,199.050245,90.000002,496.4494,4009.987081,5189.743922,4.867922,92.21094,29.996003,4,22,20-02-2026
NOLSM910400058,2,Photo,1.437393,13.000822,15.085011,19.994011,205.948947,90.000002,499.863235,4022.230044,4960.735261,4.932807,92.228164,30.01095,4,23,20-02-2026
NOLSM048807070,3,Photo,0.754216,15.463432,15.181166,19.996989,194.410896,89.999996,497.339373,4093.931276,5044.14446,4.921721,92.29909,30.001049,4,24,20-02-2026
NOLSM47580809920,3,Photo,1.122521,15.221474,14.985508,20.000058,197.823072,90.000999,497.610367,4015.473875,4900.040244,5.020128,94.291918,29.99001,4,25,20-02-2026
NOLSM1187030031,1,Photo,1.014315,16.114426,15.021163,19.994993,205.916332,90.000003,503.614075,4022.828259,5034.611204,4.994776,90.472759,30.002046,4,26,20-02-2026
NOLSM8130149063,1,Photo,1.066156,18.563962,14.881561,19.995018,203.537633,90.000996,494.207204,3975.638857,4989.082591,5.01878,93.621298,29.997035,4,27,20-02-2026
NOLSM510778508259,2,Photo,0.952404,17.548235,15.061228,20.000007,205.15738,89.999992,505.20121,4103.631052,5129.194707,5.133996,93.172545,29.997019,24,1,20-02-2026
NOLSM982449633683,3,Photo,1.035623,16.221775,14.938874,19.993005,204.178557,89.999998,504.141945,4083.560705,5104.778483,5.087232,93.131352,29.995974,24,2,20-02-2026
NOLSM55602855424,3,Photo,0.952591,17.611264,15.031339,20.001009,203.972955,90.000001,504.000037,4080.109882,5099.344967,5.108982,93.076865,29.995945,24,3,20-02-2026
NOLSM23498329,3,Photo,0.869558,17.049913,15.050148,20.000014,203.726947,90.000001,503.751747,4074.552858,5093.595236,5.0926,93.104935,29.996988,24,4,20-02-2026
NOLSM95697034,1,Photo,0.753153,16.559701,14.964131,19.998982,204.026508,89.999992,504.000946,4080.55953,5100.398593,5.104294,93.029929,29.994017,24,5,20-02-2026
NOLSM075481979,1,Photo,0.87968,16.73098,14.897297,20.001015,203.879565,89.999005,503.870843,4077.735115,5096.775676,5.093586,93.153943,29.988983,24,6,20-02-2026
NOLSM806723268257,2,Photo,1.053864,16.760664,14.954522,19.999991,203.62903,89.999999,503.620838,4072.570884,5090.521548,5.084665,92.828793,30.005005,24,7,20-02-2026
NOLSM611100642,2,Photo,0.62,17.56752,15.013697,20.006009,207.011243,90.000001,507.000565,4140.276409,5174.489655,5.156059,93.65734,29.999006,24,8,20-02-2026
NOLSM95081065,3,Photo,0.968304,17.394087,14.955978,20.004017,205.1715,89.999999,505.1551,4103.144634,5129.012731,5.144277,93.20894,30.005051,24,9,20-02-2026
NOLSM332976806936,3,Photo,1.121771,17.477011,15.047185,19.995038,204.175355,90.000003,504.18284,4083.311291,5103.810188,5.124469,93.60904,30.015989,24,10,20-02-2026
NOLSM042431320974,3,Photo,0.919417,16.985023,14.920396,19.999995,205.09484,90.000003,505.115906,4102.319125,5127.831315,5.134406,93.950807,29.989985,24,11,20-02-2026
NOLSM94324302997,1,Photo,0.946607,16.921593,15.025352,19.994974,205.414561,89.999997,505.409334,4108.250399,5134.803451,5.114294,92.886705,29.994007,24,12,20-02-2026
NOLSM024902242,1,Photo,0.684674,16.739643,14.897212,19.997003,204.522054,89.998997,504.50576,4090.125154,5111.988406,5.110983,92.858207,30.009979,24,13,20-02-2026
NOLSM803993010526,2,Photo,0.953588,16.356746,14.997032,19.996025,203.355244,90.000997,503.336217,4067.002641,5083.513759,5.099842,92.628443,29.996985,24,14,20-02-2026
NOLSM863444989257,2,Photo,0.892414,16.154188,15.019082,19.999018,203.184243,90.000006,503.151383,4063.239917,5079.187431,5.073919,92.809924,29.994985,24,15,20-02-2026
NOLSM8620352050,2,Photo,0.863836,16.639092,15.058278,20.000977,203.336096,90.001001,503.391928,4066.693653,5083.726824,5.081984,92.434918,30.000031,24,16,20-02-2026
NOLSM05062560,3,Photo,0.889583,16.919094,14.95759,19.997987,202.241204,90.000004,502.212703,4045.106898,5056.26426,5.065086,92.631857,29.988055,24,17,20-02-2026
NOLSM45803979,3,Photo,1.001338,16.168229,14.994018,19.996982,203.131626,90.000999,503.14645,4063.472459,5078.340259,5.070805,92.358279,29.999048,24,18,20-02-2026
NOLSM21310260,1,Photo,0.956142,16.619653,15.022897,20.004,201.998286,89.999998,502.014428,4040.45184,5049.76402,5.062413,92.411142,29.994033,24,19,20-02-2026
NOLSM074726756,1,Photo,0.728357,17.05608,15.03146,20.002038,202.269937,89.999989,502.294887,4045.437148,5057.259415,5.065008,92.604788,29.998917,24,20,20-02-2026
NOLSM17460407331,2,Photo,1.112512,17.13288,15.055539,20.001981,201.964098,89.999997,501.983139,4039.737812,5050.037125,5.053291,92.372738,29.999061,24,21,20-02-2026
NOLSM084519903659,2,Photo,0.877785,17.281846,14.949617,20.002998,202.325967,90.000003,502.349522,4046.592084,5058.684402,5.060146,93.046047,29.985003,24,22,20-02-2026
NOLSM07346796,2,Photo,0.66833,16.524955,15.075003,19.99903,203.994168,89.998996,503.940469,4079.493273,5098.627894,5.086854,92.575565,30.001955,24,23,20-02-2026
NOLSM390982298,3,Photo,1.080056,16.638081,14.926315,19.997993,202.376363,90.0,502.400156,4048.170118,5060.318629,5.066363,92.489857,30.00507,24,24,20-02-2026
NOLSM271210178,3,Photo,0.977144,17.17261,15.06483,20.00101,202.586624,89.999997,502.556731,4051.813201,5064.382254,5.065036,92.258072,30.000036,24,25,20-02-2026
NOLSM164285046379,3,Photo,1.054407,16.117291,14.962918,20.003972,198.916642,89.999,498.927189,3978.605835,4973.235556,4.975026,90.075903,29.999986,24,26,20-02-2026
NOLSM888012398950,1,Photo,1.367259,17.518593,14.965931,19.999996,197.460943,89.998993,497.470749,3949.134667,4936.331678,4.922271,89.460498,30.001057,24,27,20-02-2026
NOLSM85332621973,2,Photo,1.317072,18.293143,15.099798,19.997004,201.275325,90.001004,504.224283,4035.150654,5026.534758,5.028542,90.869261,29.995044,5,28,21-02-2026
NOLSM48035972,2,Photo,1.868508,13.104358,15.024902,20.001048,198.805933,89.999005,500.067022,3952.497992,5015.798544,5.038138,92.280246,29.99799,5,29,21-02-2026
NOLSM606778551233,2,Photo,1.214045,14.984865,15.000864,20.007008,197.137802,89.998,500.409375,3972.523742,5077.108596,5.032869,91.329703,29.992987,5,30,21-02-2026
NOLSM93302458,2,Photo,1.151328,15.269739,14.931089,20.000984,200.826114,89.999005,494.985807,4017.184704,5119.70875,5.072285,90.28972,30.005047,5,31,21-02-2026
NOLSM80871005,2,Photo,1.772545,16.652841,15.043986,20.000983,196.001423,89.999997,499.254608,4072.597655,5021.997157,4.972829,93.43484,30.001017,5,32,21-02-2026
NOLSM64101025,2,Photo,1.483802,13.652694,15.020805,20.005013,198.212731,90.001005,501.198087,4084.985557,4947.995141,4.968098,93.623374,30.001063,5,33,21-02-2026
NOLSM729894672114,2,Photo,1.939132,15.128263,14.979102,19.996024,199.001581,90.001004,493.348439,4045.372919,5012.125964,4.96123,93.281201,30.003032,5,34,21-02-2026
NOLSM18658648,2,Photo,0.90893,16.416463,15.105953,19.993006,201.916771,89.997997,499.397091,4009.808825,5021.413087,4.966955,93.29802,30.002035,5,35,21-02-2026
NOLSM3048774822,2,Photo,0.708378,11.963829,15.003293,19.996991,202.287398,89.998997,501.813829,4018.655771,5027.768213,4.958367,91.915807,30.004966,5,36,21-02-2026
NOLSM85178811,2,Photo,2.094044,21.371465,15.057237,20.001008,197.707177,89.999999,502.394488,4126.696826,5006.407648,4.996596,90.562472,29.999024,5,37,21-02-2026
NOLSM630712426616,2,Photo,1.733269,15.27725,15.009638,19.996001,204.740859,89.998997,507.208386,4085.981912,4983.950581,4.987909,92.562536,29.999024,5,38,21-02-2026
NOLSM5988164506,2,Photo,1.099119,15.310546,15.070056,19.998997,205.22087,89.998999,501.298214,4057.749705,5098.811903,5.100332,91.779296,30.000981,5,39,21-02-2026
NOLSM08317145700,2,Photo,0.943928,13.90406,15.115695,19.999027,199.48679,89.999996,503.410051,4074.957373,4973.05785,4.980206,92.354089,29.992073,5,40,21-02-2026
NOLSM34866744085,2,Photo,1.742419,16.355418,15.024645,19.999978,195.348794,90.001005,501.407402,4029.97026,5084.32142,4.90654,90.972056,29.999028,5,41,21-02-2026
NOLSM24194717,2,Photo,0.526077,17.28306,14.828,20.001959,200.663239,89.999007,501.094674,4069.158412,5048.723317,4.926802,94.671268,29.996001,5,42,21-02-2026
NOLSM99040672263,2,Photo,0.321597,16.643661,14.999701,19.994008,199.978863,90.000003,501.563334,3981.667695,5045.660449,4.951269,92.268711,29.985988,5,43,21-02-2026
NOLSM7261057098,2,Photo,0.669703,14.089815,14.961269,19.996985,198.475766,89.999993,497.102271,4012.970903,5045.030766,5.01297,90.462097,29.998974,5,44,21-02-2026
NOLSM2308293030,2,Photo,1.12503,14.451082,14.957433,20.009003,204.417166,90.000992,500.169293,4094.179027,5014.065311,5.072006,93.602389,29.989978,5,45,21-02-2026
NOLSM467363253284,2,Photo,1.624568,12.828891,15.091977,20.001023,204.462141,90.000004,501.377505,4014.1666,4826.703391,4.924611,92.346333,29.995009,5,46,21-02-2026
NOLSM659465912120,2,Photo,1.186255,17.168053,14.784755,19.994983,203.143051,90.001004,496.477131,3964.977608,5067.817382,5.011733,89.844774,29.999024,5,47,21-02-2026
NOLSM175606275378,2,Photo,1.226722,12.720646,14.934264,20.00003,195.544448,89.997998,501.667838,4026.517991,5014.930789,5.066367,90.868503,30.000971,5,48,21-02-2026
NOLSM154492774,2,Photo,1.814584,14.749174,15.079924,19.998995,196.381923,90.001001,495.993628,4006.866949,4980.007795,5.094444,93.991899,29.996998,5,49,21-02-2026
NOLSM721818319,2,Photo,1.89605,14.607189,14.992136,19.994024,196.619015,90.000001,500.41983,3913.863578,5001.533644,4.972834,91.435255,30.003014,5,50,21-02-2026
NOLSM38838509,2,Photo,1.719257,15.803425,14.880147,19.996997,197.586062,89.998995,502.272107,3993.174192,5073.42325,5.032216,90.714867,30.003009,5,51,21-02-2026
NOLSM581513768601,2,Photo,0.961283,14.668632,14.880994,19.997994,197.984789,90.000002,503.406884,4022.088699,4918.727017,5.010044,91.015208,30.014014,5,52,21-02-2026
NOLSM8655049269,2,Photo,1.490345,16.808074,14.970266,19.992997,197.206736,90.000001,498.497221,3980.190989,5070.860338,4.975043,91.314452,29.997976,5,53,21-02-2026
NOLSM4629157387,2,Photo,0.949746,14.936676,14.916814,20.00901,197.892163,89.999001,495.397144,3991.925619,4937.147733,5.057642,92.822492,29.984003,5,54,21-02-2026
NOLSM5402039238,1,Photo,2.027428,20.696123,15.093446,20.001027,195.34456,90.000008,495.352611,3957.013393,4883.535406,4.881317,89.690016,30.005934,25,28,21-02-2026
NOLSM5568607489,1,Photo,1.421431,11.242701,14.899506,19.99701,196.794794,90.0,496.770017,4087.491244,4919.646054,4.910939,89.35576,29.987985,25,29,21-02-2026
NOLSM441298602108,1,Photo,1.76511,15.288728,15.091945,20.002045,195.664163,89.999001,495.639841,4025.464614,4891.032053,4.912764,89.483798,29.991024,25,30,21-02-2026
NOLSM106101669542,1,Photo,1.693244,12.463828,14.902856,19.995018,195.769574,89.997994,495.758657,4036.900896,4894.104625,4.888458,89.439033,29.985951,25,31,21-02-2026
NOLSM28383135540,1,Photo,1.754917,19.764941,14.970491,20.002984,195.939831,89.999997,495.926496,4014.377979,4898.023246,4.888019,88.551194,29.993033,25,32,21-02-2026
NOLSM4508292172,1,Photo,2.228123,16.024921,15.017287,19.994974,193.965182,90.001004,494.004877,3985.170199,4849.547417,4.834808,89.199183,29.998018,25,33,21-02-2026
NOLSM638986724,1,Photo,2.065922,17.575819,14.92074,19.998988,194.590712,90.001001,494.597021,4047.245136,4864.331696,4.874618,88.61213,30.005001,25,34,21-02-2026
NOLSM967869978,1,Photo,2.302475,16.433762,14.861481,19.997983,194.227565,89.999,494.272715,3955.751998,4855.943401,4.84326,89.301109,29.995,25,35,21-02-2026
