Unnamed: 0,고객ID,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료
1624,C-11666,남성,24,No,No,0,0,No,신용카드,No,No,No,No,0,2024-02-29,2026-01-01,No,62,,3926,3,22940
1625,C-11667,남성,52,No,No,0,0,No,계좌이체,No,No,No,No,0,2018-12-31,2026-01-01,No,22,,4790,5,3840
1626,C-11668,남성,32,No,No,0,0,Yes,이체/메일확인,Yes,Yes,No,Yes,30,2019-07-01,2026-01-01,No,20,,4621,4,13110
1627,C-11669,남성,44,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,23,2023-09-01,2025-09-01,Yes,66,Price,4766,1,39100
1628,C-11670,남성,43,No,No,0,0,Yes,신용카드,No,No,No,Yes,2,2023-07-01,2026-01-01,No,36,,2269,3,39320
1629,C-11671,남성,62,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,7,2023-07-01,2025-05-01,Yes,71,Other,2445,1,8250
1630,C-11672,여성,45,Yes,No,0,7,Yes,신용카드,Yes,No,No,Yes,13,2019-09-01,2026-01-01,No,26,,5038,4,1470
1631,C-11673,여성,53,Yes,Yes,1,4,No,계좌이체,No,Yes,No,No,19,2023-02-28,2026-01-01,No,25,,3288,4,0
1632,C-11674,남성,79,Yes,No,0,7,Yes,계좌이체,No,Yes,No,Yes,24,2021-11-01,2026-01-01,No,40,,5469,4,5420
1633,C-11675,남성,31,No,No,0,0,No,신용카드,No,No,No,No,0,2024-08-01,2026-01-01,No,44,,5064,3,8810
1634,C-11676,여성,79,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,29,2024-09-01,2025-03-01,Yes,83,Attitude,3330,3,53560
1635,C-11677,남성,32,No,No,0,0,Yes,계좌이체,No,No,No,Yes,7,2025-08-01,2025-09-01,Yes,78,Other,4512,2,6440
1636,C-11678,남성,21,No,No,0,5,No,신용카드,No,Yes,No,Yes,30,2023-07-01,2026-01-01,No,59,,5558,5,1470
1637,C-11679,여성,33,No,No,0,0,No,계좌이체,No,No,Yes,Yes,17,2024-02-01,2026-01-01,No,27,,5899,5,8360
1638,C-11680,남성,79,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,11,2019-06-01,2026-01-01,No,67,,4494,3,32660
1639,C-11681,남성,76,No,No,0,0,Yes,신용카드,No,No,No,Yes,19,2019-06-01,2026-01-01,No,28,,5269,4,43960
1640,C-11682,여성,70,Yes,No,0,9,Yes,신용카드,No,No,No,No,0,2018-12-31,2026-01-01,No,21,,5079,3,9610
1641,C-11683,여성,26,No,No,0,0,No,신용카드,Yes,No,No,Yes,69,2021-02-01,2026-01-01,No,66,,4995,4,54240
1642,C-11684,여성,68,No,No,0,0,No,신용카드,No,Yes,Yes,Yes,2,2020-07-01,2026-01-01,No,47,,4277,5,51300
1643,C-11685,여성,67,Yes,No,0,1,Yes,계좌이체,No,Yes,No,Yes,27,2023-12-31,2025-01-01,Yes,97,Dissatisfaction,2709,3,34580
1644,C-11686,여성,30,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,48,2022-06-01,2026-01-01,No,35,,3727,3,27350
1645,C-11687,여성,30,No,No,0,0,No,계좌이체,Yes,No,No,No,52,2024-02-01,2026-01-01,No,24,,4171,4,46330
1646,C-11688,여성,72,No,No,0,0,Yes,계좌이체,Yes,Yes,No,No,6,2022-08-01,2025-12-01,Yes,90,Attitude,4272,1,0
1647,C-11689,남성,65,Yes,Yes,1,8,Yes,신용카드,No,No,No,Yes,22,2024-02-01,2026-01-01,No,28,,5193,5,32320
1648,C-11690,남성,33,No,No,0,0,Yes,계좌이체,No,No,No,Yes,25,2025-07-01,2025-12-01,Yes,73,Competitor,2810,2,3730
1649,C-11691,남성,31,No,No,0,0,Yes,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,33,,4441,5,11530
1650,C-11692,여성,50,Yes,Yes,3,7,No,계좌이체,No,No,No,No,0,2023-05-01,2026-01-01,No,30,,4910,5,8250
1651,C-11693,남성,58,Yes,Yes,3,6,No,신용카드,No,No,No,No,0,2024-05-01,2026-01-01,No,38,,4535,4,29610
1652,C-11694,남성,37,No,No,0,0,Yes,이체/메일확인,No,No,Yes,Yes,21,2024-12-01,2026-01-01,No,64,,3063,5,44750
1653,C-11695,여성,72,No,No,0,0,No,계좌이체,No,Yes,Yes,Yes,14,2018-12-31,2026-01-01,No,75,,5388,5,50620
1654,C-11696,남성,39,Yes,Yes,2,5,Yes,계좌이체,No,Yes,No,Yes,29,2025-04-01,2025-10-01,Yes,94,Dissatisfaction,2283,2,47570
1655,C-11697,남성,76,Yes,No,0,1,No,계좌이체,Yes,No,No,Yes,3,2021-09-01,2025-01-01,Yes,84,Other,2837,1,3280
1656,C-11698,여성,20,No,No,0,5,Yes,신용카드,No,No,Yes,Yes,48,2023-02-01,2026-01-01,No,61,,2590,5,16390
1657,C-11699,남성,36,No,No,0,0,Yes,신용카드,Yes,Yes,Yes,Yes,29,2022-07-01,2026-01-01,No,64,,3597,3,3280
1658,C-11700,여성,24,No,No,0,0,Yes,신용카드,No,No,No,Yes,42,2022-08-01,2026-01-01,No,46,,5324,3,7910
1659,C-11701,남성,21,No,No,0,1,Yes,계좌이체,No,No,No,No,53,2020-02-01,2026-01-01,No,28,,5905,4,0
1660,C-11702,남성,74,Yes,No,0,1,Yes,계좌이체,Yes,No,No,Yes,18,2022-05-01,2025-10-01,Yes,71,Competitor,4995,1,51750
1661,C-11703,여성,66,Yes,No,0,5,Yes,계좌이체,No,Yes,No,Yes,28,2020-02-29,2026-01-01,No,23,,6019,3,51300
1662,C-11704,여성,64,Yes,No,0,8,Yes,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,59,,4517,4,39780
1663,C-11705,남성,40,Yes,Yes,2,1,No,계좌이체,No,No,No,Yes,19,2024-09-01,2026-01-01,No,63,,2114,5,29270
1664,C-11706,여성,62,No,Yes,1,0,Yes,신용카드,No,No,No,No,0,2019-12-01,2026-01-01,No,54,,4673,4,36270
1665,C-11707,남성,41,No,No,0,0,Yes,계좌이체,No,No,No,Yes,27,2024-11-01,2025-09-01,Yes,67,Competitor,3156,1,30850
1666,C-11708,여성,22,No,No,0,0,Yes,계좌이체,Yes,No,No,No,82,2021-10-01,2026-01-01,No,23,,5531,3,28590
1667,C-11709,여성,45,Yes,No,0,1,Yes,신용카드,No,No,No,No,0,2022-08-01,2025-03-01,Yes,67,Attitude,2687,3,34010
1668,C-11710,여성,36,Yes,No,0,1,Yes,계좌이체,No,No,No,No,12,2025-08-01,2025-10-01,Yes,78,Attitude,2643,2,0
1669,C-11711,남성,47,Yes,No,0,1,Yes,신용카드,No,No,Yes,Yes,6,2022-06-01,2026-01-01,No,34,,5238,5,3500
1670,C-11712,남성,44,No,No,0,0,Yes,계좌이체,No,No,No,No,20,2025-05-01,2025-09-01,Yes,66,Attitude,5605,2,0
1671,C-11713,여성,26,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,85,2022-04-01,2026-01-01,No,44,,4460,4,18980
1672,C-11714,여성,52,No,Yes,1,0,Yes,신용카드,No,No,No,No,0,2024-09-01,2026-01-01,No,24,,5602,3,36390
1673,C-11715,여성,26,Yes,Yes,1,1,No,신용카드,Yes,Yes,Yes,Yes,59,2022-05-01,2026-01-01,No,42,,4343,4,22370
1674,C-11716,여성,69,Yes,No,0,8,Yes,신용카드,No,Yes,Yes,Yes,2,2018-12-31,2026-01-01,No,80,,5933,5,17970
1675,C-11717,남성,51,No,No,0,0,No,계좌이체,No,No,No,Yes,8,2024-02-01,2026-01-01,No,34,,2535,5,1130
1676,C-11718,남성,66,Yes,No,0,1,No,계좌이체,No,No,No,Yes,2,2023-02-01,2026-01-01,No,38,,5788,3,48140
1677,C-11719,여성,20,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,26,2024-09-01,2025-03-01,Yes,80,Attitude,3578,1,22940
1678,C-11720,여성,76,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,22,2025-08-01,2025-09-01,Yes,67,Dissatisfaction,5948,2,14130
1679,C-11721,남성,24,No,No,0,0,No,계좌이체,No,Yes,Yes,Yes,47,2023-10-01,2026-01-01,No,23,,4999,5,11300
1680,C-11722,남성,62,Yes,No,0,1,No,신용카드,No,No,No,No,0,2018-12-31,2026-01-01,No,24,,4413,5,45200
1681,C-11723,여성,38,Yes,Yes,3,5,No,계좌이체,No,No,No,No,0,2022-02-03,2026-01-01,No,32,,5998,4,21360
1682,C-11724,남성,46,Yes,No,0,4,No,계좌이체,No,No,No,Yes,6,2020-11-01,2026-01-01,No,41,,4322,4,11640
1683,C-11725,남성,60,No,No,0,0,Yes,계좌이체,No,No,No,No,23,2025-07-01,2025-08-01,Yes,92,Attitude,4490,2,55370
1684,C-11726,여성,77,No,No,0,0,Yes,신용카드,No,No,No,Yes,25,2025-02-01,2025-04-01,Yes,65,Price,3350,3,26560
1685,C-11727,여성,20,No,No,0,1,No,계좌이체,Yes,Yes,Yes,Yes,69,2021-08-01,2026-01-01,No,27,,5468,3,36500
1686,C-11728,남성,74,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,11,2022-04-01,2026-01-01,No,30,,5322,4,0
1687,C-11729,남성,30,No,No,0,0,Yes,계좌이체,No,No,No,Yes,85,2022-08-01,2025-10-01,Yes,76,Competitor,5274,1,35370
1688,C-11730,남성,80,Yes,No,0,2,Yes,계좌이체,No,Yes,No,Yes,15,2019-12-31,2026-01-01,No,73,,4040,4,25990
1689,C-11731,남성,34,Yes,Yes,1,2,Yes,신용카드,No,No,Yes,Yes,25,2022-12-01,2026-01-01,No,40,,2499,4,53220
1690,C-11733,남성,26,Yes,No,0,9,No,신용카드,Yes,Yes,Yes,Yes,59,2019-02-28,2026-01-01,No,48,,5025,3,46440
1691,C-11734,남성,36,Yes,No,0,6,Yes,계좌이체,Yes,No,Yes,Yes,9,2019-12-31,2026-01-01,No,77,,4350,4,5200
1692,C-11735,여성,74,Yes,No,0,2,No,계좌이체,No,No,Yes,Yes,23,2022-02-28,2026-01-01,No,34,,2225,4,13900
1693,C-11736,여성,26,Yes,No,0,0,Yes,계좌이체,No,Yes,No,Yes,59,2022-10-01,2026-01-01,No,43,,3291,3,44860
1694,C-11737,여성,60,No,No,0,0,No,신용카드,No,No,No,No,0,2019-12-31,2026-01-01,No,35,,4192,3,53220
1695,C-11738,남성,66,Yes,No,0,2,Yes,계좌이체,No,Yes,No,Yes,8,2023-10-01,2025-03-01,Yes,92,Competitor,3266,1,1240
1696,C-11739,여성,55,Yes,No,0,2,Yes,계좌이체,No,No,No,Yes,17,2019-09-01,2025-08-01,Yes,100,Competitor,4296,3,45770
1697,C-11740,남성,38,Yes,Yes,1,3,Yes,계좌이체,No,No,Yes,Yes,19,2020-05-01,2026-01-01,No,55,,4478,3,47690
1698,C-11741,남성,46,Yes,No,0,9,Yes,계좌이체,No,Yes,Yes,Yes,11,2020-05-01,2025-06-01,Yes,71,Competitor,6295,3,30400
1699,C-11742,남성,59,Yes,Yes,2,8,Yes,계좌이체,Yes,No,No,Yes,16,2023-10-01,2026-01-01,No,78,,5825,4,0
1700,C-11743,여성,21,No,No,0,5,No,계좌이체,Yes,Yes,Yes,Yes,46,2019-02-28,2026-01-01,No,30,,4858,3,0
1701,C-11744,여성,29,No,Yes,1,0,No,신용카드,No,No,No,No,48,2024-12-01,2026-01-01,No,55,,3065,5,0
1702,C-11745,남성,29,Yes,Yes,3,10,No,신용카드,Yes,No,Yes,Yes,69,2021-07-01,2026-01-01,No,55,,3764,4,50850
1703,C-11746,여성,58,No,No,0,0,No,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,48,,2732,5,43840
1704,C-11747,여성,70,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2024-11-01,2026-01-01,No,72,,5039,3,24750
1705,C-11748,남성,26,No,No,0,1,No,계좌이체,No,No,No,No,0,2018-12-31,2026-01-01,No,55,,6317,3,24520
1706,C-11749,남성,28,Yes,No,0,9,Yes,신용카드,Yes,Yes,No,Yes,85,2020-09-01,2026-01-01,No,59,,5211,5,11750
1707,C-11750,여성,33,Yes,Yes,2,1,No,계좌이체,Yes,Yes,No,Yes,11,2020-04-01,2026-01-01,No,21,,5660,3,19210
1708,C-11751,남성,48,No,No,0,0,No,신용카드,No,No,No,No,0,2024-06-01,2026-01-01,No,71,,4271,5,34580
1709,C-11752,남성,51,No,No,0,0,No,계좌이체,Yes,Yes,No,Yes,20,2021-02-01,2026-01-01,No,66,,5022,4,45540
1710,C-11753,여성,22,No,No,0,0,Yes,계좌이체,No,Yes,Yes,Yes,59,2019-08-01,2026-01-01,No,73,,5742,5,30280
1711,C-11754,여성,26,Yes,Yes,2,6,Yes,계좌이체,No,No,No,No,0,2018-12-31,2026-01-01,No,30,,4152,5,20450
1712,C-11755,남성,45,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2019-05-01,2026-01-01,No,70,,5987,4,42710
1713,C-11756,남성,21,No,No,0,0,Yes,이체/메일확인,No,No,No,No,0,2025-05-01,2025-06-01,Yes,67,Price,3162,2,22940
1714,C-11757,남성,43,No,No,0,0,Yes,계좌이체,No,No,No,Yes,15,2025-08-01,2025-12-01,Yes,92,Competitor,5094,1,14690
1715,C-11758,여성,26,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,27,2022-05-01,2025-06-01,Yes,92,Competitor,4233,1,41020
1716,C-11759,여성,30,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-12-31,2026-01-01,No,45,,5306,5,25760
1717,C-11760,남성,65,Yes,No,0,1,Yes,신용카드,No,No,No,Yes,22,2020-12-31,2026-01-01,No,60,,3594,4,28480
1718,C-11761,여성,25,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,73,2025-02-01,2025-09-01,Yes,65,Attitude,5672,2,10170
1719,C-11762,여성,30,No,No,0,0,No,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,38,,5537,4,9270
1720,C-11763,남성,61,Yes,No,0,10,Yes,계좌이체,No,No,Yes,Yes,20,2022-02-03,2026-01-01,No,66,,4719,4,15140
1721,C-11764,남성,30,No,No,0,0,No,계좌이체,No,No,Yes,Yes,59,2021-05-01,2026-01-01,No,68,,4025,3,55370
1722,C-11765,여성,23,No,No,0,1,No,계좌이체,Yes,No,Yes,Yes,27,2021-12-01,2026-01-01,No,33,,4051,4,0
1723,C-11766,여성,55,Yes,Yes,2,0,No,계좌이체,Yes,Yes,No,Yes,19,2019-08-01,2026-01-01,No,36,,6354,3,21810
1724,C-11767,여성,57,Yes,No,0,6,No,이체/메일확인,Yes,Yes,Yes,Yes,25,2020-02-01,2026-01-01,No,35,,5631,3,16390
1725,C-11768,여성,34,No,No,0,0,Yes,계좌이체,No,No,No,Yes,8,2023-02-28,2026-01-01,No,62,,2854,4,0
1726,C-11769,남성,61,No,Yes,1,0,Yes,계좌이체,Yes,Yes,Yes,Yes,21,2024-12-01,2026-01-01,No,53,,2706,3,22710
1727,C-11770,남성,45,Yes,No,0,9,No,계좌이체,No,Yes,No,Yes,9,2020-07-01,2026-01-01,No,78,,4778,4,0
1728,C-11771,남성,48,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,19,2021-05-01,2026-01-01,No,26,,2827,4,50290
1729,C-11772,여성,52,Yes,Yes,1,4,No,신용카드,No,No,No,No,0,2024-07-01,2026-01-01,No,42,,5874,4,28360
1730,C-11773,여성,63,No,No,0,0,No,계좌이체,No,No,No,No,0,2020-11-01,2026-01-01,No,71,,4934,4,42940
1731,C-11774,남성,44,No,No,0,0,No,신용카드,No,No,No,No,0,2023-12-01,2026-01-01,No,66,,2823,4,50850
1732,C-11775,남성,36,No,No,0,0,No,계좌이체,No,No,No,Yes,18,2025-07-01,2025-10-01,Yes,69,Competitor,3503,2,0
1733,C-11776,여성,47,No,No,0,0,No,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,72,,5774,3,49830
1734,C-11777,남성,48,No,Yes,1,0,No,신용카드,No,No,No,No,0,2022-10-01,2026-01-01,No,79,,4052,3,36500
1735,C-11778,남성,36,Yes,Yes,3,4,No,신용카드,Yes,Yes,Yes,No,57,2019-02-01,2026-01-01,No,61,,5737,3,32210
1736,C-11779,남성,57,Yes,No,0,1,No,계좌이체,No,No,No,Yes,19,2023-11-01,2026-01-01,No,51,,4612,3,50850
1737,C-11780,남성,20,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,76,2022-06-01,2026-01-01,No,72,,2025,4,21920
1738,C-11781,여성,32,Yes,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,15,2023-05-01,2026-01-01,No,36,,4382,3,32320
1739,C-11782,여성,54,No,No,0,0,No,계좌이체,No,No,No,Yes,17,2023-12-31,2026-01-01,No,26,,5706,4,7460
1740,C-11783,남성,62,No,Yes,3,0,No,신용카드,Yes,Yes,Yes,Yes,57,2021-09-01,2026-01-01,No,30,,4288,4,0
1741,C-11784,남성,47,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,14,2025-06-01,2025-12-01,Yes,93,Competitor,4667,1,0
1742,C-11785,남성,54,Yes,Yes,2,10,Yes,신용카드,No,No,No,No,0,2018-12-31,2026-01-01,No,29,,5027,4,43840
1743,C-11786,남성,32,No,No,0,0,No,신용카드,No,No,Yes,Yes,17,2024-12-01,2026-01-01,No,45,,5289,3,55600
1744,C-11787,여성,46,No,No,0,0,Yes,신용카드,No,No,No,Yes,19,2025-06-01,2025-10-01,Yes,89,Competitor,3600,1,14240
1745,C-11788,여성,32,No,No,0,0,Yes,계좌이체,No,No,No,No,19,2024-12-01,2025-01-01,Yes,79,Dissatisfaction,2756,3,31300
1746,C-11789,남성,47,Yes,No,0,4,Yes,계좌이체,No,Yes,Yes,Yes,20,2019-09-01,2026-01-01,No,26,,4222,4,7460
1747,C-11790,여성,24,No,No,0,0,Yes,계좌이체,No,No,No,Yes,47,2024-04-01,2025-04-01,Yes,96,Price,3682,2,34470
1748,C-11791,남성,25,No,No,0,0,Yes,계좌이체,No,No,No,No,59,2024-12-01,2025-04-01,Yes,88,Dissatisfaction,3591,2,24410
1749,C-11792,남성,68,Yes,No,0,7,Yes,계좌이체,Yes,Yes,No,No,19,2019-02-01,2026-01-01,No,64,,5775,3,34580
1750,C-11793,남성,42,No,No,0,0,No,신용카드,No,No,No,No,0,2019-09-01,2026-01-01,No,27,,6036,3,44070
1751,C-11794,남성,54,Yes,No,0,1,Yes,계좌이체,Yes,Yes,No,Yes,21,2022-04-01,2026-01-01,No,75,,4959,3,21580
1752,C-11795,여성,34,No,No,0,0,Yes,이체/메일확인,No,No,No,Yes,6,2024-12-31,2025-02-01,Yes,96,Competitor,3208,3,2490
1753,C-11796,여성,35,Yes,No,0,9,No,신용카드,No,No,No,No,0,2024-10-01,2026-01-01,No,56,,5867,3,13330
1754,C-11797,여성,23,No,No,0,0,Yes,계좌이체,No,No,No,Yes,26,2019-02-28,2026-01-01,No,47,,5596,3,22490
1755,C-11798,여성,21,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,42,2020-10-04,2026-01-01,No,30,,5528,3,0
1756,C-11799,남성,55,Yes,Yes,3,1,Yes,계좌이체,No,No,No,Yes,57,2024-12-01,2025-04-01,Yes,69,Dissatisfaction,5691,3,9720
1757,C-11800,남성,48,Yes,Yes,2,6,Yes,신용카드,No,No,No,No,0,2019-06-01,2026-01-01,No,70,,4890,5,6220
1758,C-11801,여성,40,Yes,Yes,3,3,No,신용카드,Yes,No,Yes,Yes,57,2019-05-01,2026-01-01,No,77,,4967,4,15930
1759,C-11802,여성,49,Yes,No,0,4,No,계좌이체,No,No,No,No,0,2019-11-01,2026-01-01,No,21,,4671,4,10060
1760,C-11803,남성,71,Yes,No,0,6,Yes,신용카드,No,No,Yes,Yes,14,2019-09-01,2025-03-01,Yes,72,Price,4512,2,56390
1761,C-11804,남성,71,Yes,No,0,1,Yes,계좌이체,Yes,No,Yes,No,6,2020-08-01,2025-01-01,Yes,77,Other,5271,1,24520
1762,C-11805,여성,68,No,No,0,0,Yes,계좌이체,No,No,No,Yes,10,2025-10-01,2025-11-01,Yes,74,Dissatisfaction,2151,2,51750
1763,C-11806,남성,26,Yes,No,0,4,Yes,계좌이체,No,Yes,No,Yes,76,2024-11-01,2025-03-01,Yes,97,Price,3955,2,0
1764,C-11807,남성,34,No,No,0,0,Yes,신용카드,Yes,Yes,No,Yes,12,2019-09-01,2026-01-01,No,53,,5044,3,34240
1765,C-11808,여성,61,Yes,No,0,2,Yes,이체/메일확인,No,No,No,Yes,7,2024-10-01,2026-01-01,No,39,,4047,4,3050
1766,C-11809,남성,73,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,20,2019-02-01,2026-01-01,No,68,,5372,3,0
1767,C-11810,남성,59,No,No,0,0,Yes,신용카드,No,No,No,No,0,2024-11-01,2026-01-01,No,65,,3007,4,10850
1768,C-11811,남성,35,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,29,2023-07-01,2025-10-01,Yes,100,Price,2518,1,27910
1769,C-11812,남성,68,No,No,0,0,Yes,계좌이체,No,No,No,No,6,2024-12-31,2025-10-01,Yes,74,Attitude,5095,3,13790
1770,C-11813,여성,26,Yes,Yes,2,8,No,계좌이체,No,No,No,No,0,2021-12-31,2026-01-01,No,57,,5272,5,48030
1771,C-11814,남성,22,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,69,2025-02-28,2025-10-01,Yes,99,Dissatisfaction,5267,3,13670
1772,C-11815,남성,45,Yes,No,0,2,No,계좌이체,Yes,No,Yes,Yes,13,2019-08-01,2026-01-01,No,46,,6177,4,24410
1773,C-11816,남성,25,Yes,Yes,1,6,Yes,계좌이체,No,No,No,No,0,2022-04-01,2026-01-01,No,66,,3470,5,6670
1774,C-11817,남성,49,No,No,0,0,Yes,신용카드,Yes,Yes,Yes,Yes,4,2020-07-01,2026-01-01,No,73,,6370,3,20110
1775,C-11818,여성,22,No,No,0,0,No,계좌이체,No,No,No,No,0,2024-12-01,2026-01-01,No,49,,2010,5,13330
1776,C-11819,여성,70,No,Yes,2,0,Yes,이체/메일확인,No,No,No,Yes,19,2024-06-01,2025-09-01,Yes,99,Dissatisfaction,5717,2,49830
1777,C-11820,남성,57,Yes,No,0,1,Yes,계좌이체,No,Yes,No,Yes,10,2025-04-01,2025-08-01,Yes,82,Dissatisfaction,2650,2,31870
1778,C-11821,여성,65,Yes,No,0,1,No,계좌이체,No,Yes,No,Yes,3,2023-02-28,2025-05-01,Yes,75,Price,4316,3,20680
1779,C-11822,여성,45,Yes,Yes,3,8,Yes,계좌이체,No,No,No,Yes,51,2024-02-29,2026-01-01,No,54,,4531,4,37060
1780,C-11823,남성,58,Yes,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,21,2020-05-01,2025-12-01,Yes,85,Attitude,4146,3,33000
1781,C-11824,남성,71,No,No,0,0,Yes,계좌이체,No,No,No,Yes,14,2024-09-01,2025-07-01,Yes,75,Competitor,5353,1,46780
1782,C-11825,남성,39,Yes,Yes,3,7,No,계좌이체,No,Yes,Yes,Yes,21,2019-12-31,2026-01-01,No,52,,5053,4,30740
1783,C-11826,남성,50,No,No,0,0,No,신용카드,No,No,No,No,0,2019-08-01,2026-01-01,No,76,,5826,4,51870
1784,C-11827,남성,43,Yes,Yes,3,5,Yes,신용카드,Yes,No,Yes,Yes,57,2018-12-31,2026-01-01,No,35,,5169,4,7910
1785,C-11828,여성,79,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,11,2022-11-01,2026-01-01,No,38,,3114,4,21130
1786,C-11829,여성,44,Yes,No,0,1,Yes,신용카드,No,No,No,No,0,2025-02-01,2025-10-01,Yes,89,Price,2247,3,52090
1787,C-11830,남성,32,No,No,0,0,No,이체/메일확인,No,No,No,No,0,2024-12-01,2026-01-01,No,51,,2664,5,44750
1788,C-11831,여성,58,Yes,No,0,3,Yes,신용카드,No,No,Yes,Yes,2,2020-12-31,2026-01-01,No,34,,3468,5,1130
1789,C-11832,여성,32,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,19,2021-08-01,2026-01-01,No,62,,2299,4,8810
1790,C-11834,여성,53,No,No,0,0,Yes,계좌이체,No,No,No,Yes,24,2024-07-01,2025-01-01,Yes,68,Price,2266,2,13330
1791,C-11835,여성,35,No,No,0,0,No,신용카드,No,No,No,Yes,21,2024-12-01,2026-01-01,No,30,,4118,5,46220
1792,C-11836,여성,33,Yes,Yes,2,3,Yes,계좌이체,No,Yes,No,Yes,16,2021-12-01,2026-01-01,No,31,,3746,4,1240
1793,C-11837,여성,73,No,No,0,0,No,계좌이체,Yes,Yes,No,Yes,29,2020-05-01,2026-01-01,No,21,,4463,4,53220
1794,C-11838,여성,29,No,No,0,0,No,신용카드,No,No,No,No,0,2024-06-01,2026-01-01,No,46,,2750,3,18310
1795,C-11839,여성,26,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,51,2024-09-01,2026-01-01,No,70,,3132,3,43730
1796,C-11840,여성,73,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,13,2019-02-01,2026-01-01,No,77,,4241,4,38870
1797,C-11841,남성,80,Yes,No,0,8,Yes,계좌이체,No,Yes,No,Yes,4,2020-02-29,2026-01-01,No,21,,4993,3,35140
1798,C-11842,남성,62,No,No,0,0,No,계좌이체,No,No,No,No,0,2020-08-01,2026-01-01,No,68,,5878,3,26220
1799,C-11843,남성,76,Yes,No,0,5,No,계좌이체,Yes,No,No,Yes,18,2022-06-01,2026-01-01,No,68,,5597,4,52090
1800,C-11844,남성,22,No,No,0,0,No,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,46,,5203,5,33000
1801,C-11845,남성,22,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,41,2024-07-01,2026-01-01,No,45,,2482,3,3620
1802,C-11846,남성,49,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,13,2020-12-01,2026-01-01,No,33,,6138,3,20110
1803,C-11847,여성,60,No,No,0,0,No,계좌이체,Yes,Yes,Yes,No,28,2024-05-01,2026-01-01,No,52,,3325,4,19780
1804,C-11848,여성,65,No,No,0,0,Yes,신용카드,No,No,No,No,0,2023-02-28,2026-01-01,No,21,,4327,3,38870
1805,C-11849,남성,37,Yes,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,12,2023-05-01,2025-10-01,Yes,99,Dissatisfaction,2651,1,32090
1806,C-11850,남성,24,No,Yes,1,3,No,계좌이체,Yes,No,No,No,76,2019-12-01,2026-01-01,No,64,,6495,3,0
1807,C-11851,여성,69,No,No,0,0,No,신용카드,Yes,Yes,No,Yes,19,2023-02-01,2025-08-01,Yes,97,Competitor,2482,1,51870
1808,C-11852,여성,36,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,25,2023-11-01,2025-12-01,Yes,96,Competitor,4793,1,26220
1809,C-11853,남성,73,No,No,0,0,Yes,계좌이체,No,No,No,No,15,2024-04-01,2026-01-01,No,76,,5811,5,28140
1810,C-11854,남성,27,Yes,Yes,2,1,No,계좌이체,No,No,No,No,0,2024-08-01,2026-01-01,No,54,,3629,3,46560
1811,C-11855,남성,28,No,No,0,0,Yes,계좌이체,No,No,No,Yes,58,2024-08-01,2025-05-01,Yes,89,Competitor,2752,2,55480
1812,C-11856,여성,32,Yes,No,0,6,Yes,신용카드,No,Yes,Yes,Yes,15,2019-08-01,2026-01-01,No,69,,6047,3,46670
1813,C-11857,남성,79,No,No,0,0,Yes,계좌이체,No,Yes,No,No,21,2022-08-01,2026-01-01,No,76,,5285,4,7460
