No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
NOLSM3516143816,1,Oxidation,dry,888.264074,O2,22.161445,0.215884,29,712.739971,21,32,17-02-2026
NOLSM660714146543,1,Oxidation,dry,888.372302,O2,32.82624,0.217995,32,714.481984,21,33,17-02-2026
NOLSM7091202973,1,Oxidation,dry,888.046338,O2,31.876491,0.219018,32,715.396604,21,34,17-02-2026
NOLSM664093641717,1,Oxidation,dry,883.656248,O2,39.557336,0.216942,32,713.17593,21,35,17-02-2026
NOLSM143079233428,1,Oxidation,dry,886.060603,O2,32.817181,0.218066,32,714.335346,21,36,17-02-2026
NOLSM93576334940,1,Oxidation,dry,877.838653,O2,38.087526,0.213084,31,710.081447,21,37,17-02-2026
NOLSM794223640445,1,Oxidation,dry,877.65744,O2,39.987922,0.21392,32,710.594472,21,38,17-02-2026
NOLSM113060296564,1,Oxidation,dry,879.641827,O2,35.650153,0.214924,31,711.584241,21,39,17-02-2026
NOLSM30153266170,1,Oxidation,dry,886.442315,O2,28.45668,0.213083,34,710.030403,21,40,17-02-2026
NOLSM9690229194,1,Oxidation,dry,877.820573,O2,34.595914,0.212976,33,710.106092,21,41,17-02-2026
NOLSM51360201894,1,Oxidation,dry,890.388368,O2,34.991563,0.212921,32,709.971886,21,42,17-02-2026
NOLSM337231583531,1,Oxidation,dry,886.555805,O2,32.625283,0.21393,32,710.480119,21,43,17-02-2026
NOLSM563672141949,1,Oxidation,dry,888.963925,O2,38.053409,0.213972,32,710.963249,21,44,17-02-2026
NOLSM575321011480,1,Oxidation,dry,871.809192,O2,22.030307,0.211963,32,709.07213,21,45,17-02-2026
NOLSM96927271438,1,Oxidation,dry,874.174706,O2,22.069069,0.213947,31,710.149969,21,46,17-02-2026
NOLSM4985100616,1,Oxidation,dry,891.272642,O2,22.108737,0.212948,32,709.995939,21,47,17-02-2026
NOLSM39349061,1,Oxidation,dry,889.86723,O2,22.099264,0.212999,30,709.765456,21,48,17-02-2026
NOLSM17850067283,1,Oxidation,dry,873.941636,O2,22.114639,0.212956,28,709.944928,21,49,17-02-2026
NOLSM27801039665,1,Oxidation,dry,882.638197,O2,22.048447,0.212979,31,709.999123,21,50,17-02-2026
NOLSM437690513475,1,Oxidation,dry,874.150738,O2,22.095731,0.21305,30,710.029144,21,51,17-02-2026
NOLSM1445072462,1,Oxidation,dry,874.049838,O2,22.087282,0.213966,27,710.126967,21,52,17-02-2026
NOLSM546921323,1,Oxidation,dry,888.697002,O2,22.096882,0.214022,27,710.903556,21,53,17-02-2026
NOLSM356462625759,1,Oxidation,dry,880.75361,O2,22.089346,0.214063,27,710.69628,21,54,17-02-2026
NOLSM2487581899,1,Oxidation,wet,1139.140984,H2O,32.809169,0.199982,62,699.418653,1,1,17-02-2026
NOLSM34120311,1,Oxidation,wet,1218.665129,H2O,31.905118,0.194006,137,696.815583,1,2,17-02-2026
NOLSM91356663,1,Oxidation,dry,1062.576724,O2,39.457677,0.217076,128,705.438804,1,3,17-02-2026
NOLSM42079689344,1,Oxidation,dry,1115.314505,O2,32.778684,0.201077,90,710.761449,1,4,17-02-2026
NOLSM687609598608,1,Oxidation,wet,988.047003,H2O,38.111487,0.204018,98,716.974446,1,5,17-02-2026
NOLSM8387638305,1,Oxidation,wet,977.970649,H2O,39.943074,0.203983,132,698.716199,1,6,17-02-2026
NOLSM92428524775,1,Oxidation,dry,1136.400826,O2,35.644265,0.199987,74,709.72326,1,7,17-02-2026
NOLSM401356070836,1,Oxidation,wet,1095.978003,H2O,28.611066,0.199044,291,696.455043,1,8,17-02-2026
NOLSM5816460980,2,Oxidation,dry,1042.451686,O2,34.556554,0.20304,61,712.936732,1,9,17-02-2026
NOLSM706166853663,2,Oxidation,wet,1104.966913,H2O,34.969072,0.203965,117,725.849861,1,10,17-02-2026
NOLSM874408974,2,Oxidation,dry,1077.839434,O2,32.611978,0.188949,87,689.055096,1,11,17-02-2026
NOLSM599759326,2,Oxidation,wet,1114.568351,H2O,38.04761,0.218125,80,708.758216,1,12,17-02-2026
NOLSM160948078873,2,Oxidation,dry,1193.592975,O2,33.80908,0.201982,149,716.111388,1,13,17-02-2026
NOLSM65407900,2,Oxidation,dry,1098.000296,O2,28.996371,0.215932,149,703.587705,1,14,17-02-2026
NOLSM7764717194,2,Oxidation,dry,1014.026501,O2,49.971186,0.208994,101,721.176782,1,15,17-02-2026
NOLSM3046018461,2,Oxidation,dry,1102.869004,O2,32.5401,0.202926,112,703.68977,1,16,17-02-2026
NOLSM813170842302,2,Oxidation,dry,1101.331105,O2,32.769339,0.205019,101,702.336742,1,17,17-02-2026
NOLSM7118440575,3,Oxidation,wet,995.799275,H2O,36.659022,0.194018,148,707.155515,1,18,17-02-2026
NOLSM10589410236,3,Oxidation,wet,1017.649723,H2O,35.446214,0.203003,157,719.671251,1,19,17-02-2026
NOLSM78697708,3,Oxidation,dry,1037.434415,O2,36.747362,0.20504,147,709.868086,1,20,17-02-2026
NOLSM699430020,3,Oxidation,dry,1000.044889,O2,25.527168,0.203018,56,715.536819,1,21,17-02-2026
NOLSM9153311548,3,Oxidation,dry,1079.20474,O2,42.40072,0.211988,84,698.972557,1,22,17-02-2026
NOLSM40124439280,3,Oxidation,dry,1068.799534,O2,31.398195,0.211977,117,708.320202,1,23,17-02-2026
NOLSM392780986,3,Oxidation,dry,1066.779894,O2,37.187717,0.204981,137,704.126897,1,24,17-02-2026
NOLSM64968751,3,Oxidation,wet,1034.625741,H2O,35.338494,0.210058,125,715.284648,1,25,17-02-2026
NOLSM37637185690,3,Oxidation,dry,1105.251197,O2,39.022226,0.206042,204,697.002862,1,26,17-02-2026
NOLSM9460842697,1,Oxidation,wet,954.592386,H2O,33.395783,0.217975,144,713.381777,1,27,17-02-2026
NOLSM926639800,3,Oxidation,dry,870.791813,O2,22.126285,0.215998,223,712.893243,21,1,17-02-2026
NOLSM298460138448,3,Oxidation,dry,870.507256,O2,22.183434,0.218968,226,715.965788,21,2,17-02-2026
NOLSM609821332,3,Oxidation,dry,871.592406,O2,22.133124,0.219025,226,715.153972,21,3,17-02-2026
NOLSM434718907,3,Oxidation,dry,872.164309,O2,22.149344,0.216999,224,713.573362,21,4,17-02-2026
NOLSM41749926395,3,Oxidation,dry,872.156469,O2,22.131949,0.215968,223,712.663674,21,5,17-02-2026
NOLSM701769817,3,Oxidation,dry,872.091036,O2,22.105803,0.217986,225,714.386623,21,6,17-02-2026
NOLSM31685340,3,Oxidation,dry,872.040728,O2,22.193777,0.219006,226,715.369094,21,7,17-02-2026
NOLSM392853237404,3,Oxidation,dry,870.404178,O2,22.173245,0.217005,224,713.121535,21,8,17-02-2026
NOLSM3128624293,1,Oxidation,dry,871.687738,O2,22.166722,0.21794,225,714.320846,21,9,17-02-2026
NOLSM72279966916,1,Oxidation,dry,872.168721,O2,22.165661,0.213013,220,710.098588,21,10,17-02-2026
NOLSM926377525,1,Oxidation,dry,871.728684,O2,22.16551,0.214042,221,710.603224,21,11,17-02-2026
NOLSM3101694821,1,Oxidation,dry,871.086317,O2,22.148145,0.215046,222,711.682081,21,12,17-02-2026
NOLSM16957413013,1,Oxidation,dry,872.288177,O2,22.138723,0.213024,220,710.07703,21,13,17-02-2026
NOLSM39918977425,1,Oxidation,dry,871.073848,O2,22.147505,0.213034,220,709.997256,21,14,17-02-2026
NOLSM76735417,1,Oxidation,dry,871.183784,O2,22.053222,0.212977,220,709.92748,21,15,17-02-2026
NOLSM4788416677,1,Oxidation,dry,870.52042,O2,22.124948,0.213986,221,710.479517,21,16,17-02-2026
NOLSM033272415577,2,Oxidation,dry,872.395147,O2,22.131772,0.214007,221,711.079689,21,17,17-02-2026
NOLSM41949837,2,Oxidation,dry,871.616183,O2,22.104023,0.211954,219,709.063144,21,18,17-02-2026
NOLSM75752749,2,Oxidation,dry,871.235874,O2,22.082395,0.214054,221,710.088571,21,19,17-02-2026
NOLSM658624891077,2,Oxidation,dry,871.830699,O2,22.101543,0.21296,220,709.950822,21,20,17-02-2026
NOLSM741662031,2,Oxidation,dry,872.00781,O2,22.043907,0.213003,220,709.779113,21,21,17-02-2026
NOLSM71029655672,2,Oxidation,dry,872.36413,O2,22.062355,0.213002,220,710.025583,21,22,17-02-2026
NOLSM9769435857,2,Oxidation,dry,871.635528,O2,22.103905,0.213033,220,710.016103,21,23,17-02-2026
NOLSM51251354,2,Oxidation,dry,870.763829,O2,22.068592,0.213041,220,709.894354,21,24,17-02-2026
NOLSM45551300,3,Oxidation,dry,870.351508,O2,22.086222,0.213994,221,710.129772,21,25,17-02-2026
NOLSM60515527,3,Oxidation,dry,871.259479,O2,22.064452,0.213995,221,710.807295,21,26,17-02-2026
NOLSM3630548876,3,Oxidation,dry,872.234642,O2,22.026352,0.213976,221,710.728047,21,27,17-02-2026
NOLSM725965431,1,Oxidation,dry,1060.477208,O2,32.461213,0.209079,114,707.38261,2,28,18-02-2026
NOLSM66345133,1,Oxidation,wet,1245.95508,H2O,37.559578,0.204054,106,707.170192,2,29,18-02-2026
NOLSM36666149145,1,Oxidation,wet,1103.750455,H2O,32.890655,0.206021,165,714.254879,2,30,18-02-2026
NOLSM5439876088,1,Oxidation,dry,1143.402777,O2,32.328033,0.200913,174,704.300949,2,31,18-02-2026
NOLSM246004860477,1,Oxidation,wet,1026.708752,H2O,37.858079,0.203979,75,699.518771,2,32,18-02-2026
NOLSM16948203601,1,Oxidation,wet,1118.879598,H2O,31.702056,0.210047,167,702.72223,2,33,18-02-2026
NOLSM803244914849,1,Oxidation,wet,1170.366548,H2O,30.634373,0.201955,151,706.288063,2,34,18-02-2026
NOLSM656794166,1,Oxidation,dry,1050.715822,O2,35.853707,0.221043,113,713.172637,2,35,18-02-2026
NOLSM687116992,1,Oxidation,dry,1134.856233,O2,42.947696,0.199035,64,704.014301,2,36,18-02-2026
NOLSM82053037,1,Oxidation,dry,1020.161004,O2,27.124191,0.19994,113,711.362917,2,37,18-02-2026
NOLSM6098512622,1,Oxidation,wet,1097.154295,H2O,39.329272,0.193106,147,723.299926,2,38,18-02-2026
NOLSM224480084318,1,Oxidation,wet,927.874622,H2O,29.182058,0.215025,128,713.196697,2,39,18-02-2026
NOLSM43647714,1,Oxidation,dry,1180.20963,O2,27.489016,0.201124,68,708.252658,2,40,18-02-2026
NOLSM726251557,1,Oxidation,wet,1036.71778,H2O,34.065659,0.205007,129,709.457739,2,41,18-02-2026
NOLSM078045314365,1,Oxidation,wet,1189.396083,H2O,37.984075,0.211979,179,702.86343,2,42,18-02-2026
NOLSM8342766762,1,Oxidation,dry,1031.016975,O2,33.836872,0.212977,55,705.463756,2,43,18-02-2026
NOLSM1043102519,1,Oxidation,wet,1172.209688,H2O,33.145277,0.204968,121,695.021789,2,44,18-02-2026
NOLSM662084179939,1,Oxidation,wet,993.476903,H2O,35.122129,0.210042,125,699.642062,2,45,18-02-2026
NOLSM64297104396,1,Oxidation,wet,1144.294459,H2O,25.219772,0.19495,186,709.423646,2,46,18-02-2026
NOLSM850713251482,1,Oxidation,wet,1190.008324,H2O,32.331045,0.225079,178,703.437876,2,47,18-02-2026
NOLSM185120111,1,Oxidation,dry,1234.136449,O2,31.11569,0.201939,135,693.882638,2,48,18-02-2026
NOLSM3148867442,1,Oxidation,dry,1203.914636,O2,44.422502,0.209966,91,712.067457,2,49,18-02-2026
NOLSM21683679,1,Oxidation,wet,1094.318354,H2O,32.491025,0.192996,90,707.606183,2,50,18-02-2026
NOLSM627527282,1,Oxidation,dry,1156.524965,O2,37.337821,0.205064,86,706.807677,2,51,18-02-2026
NOLSM13133308,1,Oxidation,dry,1075.644488,O2,35.209745,0.21001,56,714.732029,2,52,18-02-2026
NOLSM612763384,1,Oxidation,wet,1056.297948,H2O,39.864324,0.22,126,697.441826,2,53,18-02-2026
NOLSM460219559059,1,Oxidation,dry,1172.835543,O2,38.378974,0.211928,107,716.602002,2,54,18-02-2026
NOLSM352223833,2,Oxidation,dry,882.13491,O2,22.091061,0.215992,24,712.983624,22,28,18-02-2026
NOLSM64162084900,2,Oxidation,dry,882.105888,O2,22.124739,0.214982,23,711.588531,22,29,18-02-2026
NOLSM87595534,2,Oxidation,dry,889.553178,O2,22.106726,0.216027,23,712.328137,22,30,18-02-2026
NOLSM229647432,2,Oxidation,dry,884.435261,O2,22.070961,0.200065,23,712.932282,22,31,18-02-2026
NOLSM12674023930,2,Oxidation,dry,884.730382,O2,22.045438,0.194006,24,713.238079,22,32,18-02-2026
NOLSM893183357,2,Oxidation,dry,886.618516,O2,22.152502,0.216958,25,713.709582,22,33,18-02-2026
NOLSM703026040582,2,Oxidation,dry,880.603473,O2,22.080515,0.201003,25,713.992838,22,34,18-02-2026
NOLSM5351365860,2,Oxidation,dry,892.02624,O2,22.169403,0.204013,32,713.548701,22,35,18-02-2026
NOLSM2709122678,2,Oxidation,dry,887.772543,O2,22.140104,0.203993,32,714.352777,22,36,18-02-2026
NOLSM5102861012,2,Oxidation,dry,876.986178,O2,22.167706,0.200056,32,712.789919,22,37,18-02-2026
NOLSM87987657518,2,Oxidation,dry,873.869084,O2,22.133234,0.198971,32,713.221794,22,38,18-02-2026
NOLSM28125370,2,Oxidation,dry,877.566695,O2,22.205556,0.203062,31,715.160095,22,39,18-02-2026
NOLSM515018576883,2,Oxidation,dry,888.113785,O2,22.176351,0.203944,32,714.154949,22,40,18-02-2026
NOLSM639039284374,2,Oxidation,dry,873.911772,O2,22.134479,0.188992,31,713.588816,22,41,18-02-2026
NOLSM1717474015,2,Oxidation,dry,887.252554,O2,22.144284,0.218169,34,713.238461,22,42,18-02-2026
NOLSM7429673850,2,Oxidation,dry,889.723326,O2,22.208596,0.202076,33,710.651651,22,43,18-02-2026
NOLSM466571696391,2,Oxidation,dry,881.135783,O2,22.24334,0.215996,32,711.056925,22,44,18-02-2026
NOLSM35629028071,2,Oxidation,dry,872.72612,O2,22.234793,0.208997,32,710.881166,22,45,18-02-2026
NOLSM6139853198,2,Oxidation,dry,874.809388,O2,32.834487,0.203093,32,711.805483,22,46,18-02-2026
NOLSM81647733726,2,Oxidation,dry,883.388802,O2,31.847417,0.204989,32,712.819447,22,47,18-02-2026
NOLSM9389375434,2,Oxidation,dry,882.683387,O2,39.467463,0.194011,31,713.04371,22,48,18-02-2026
NOLSM067828949508,2,Oxidation,dry,875.7288,O2,32.898653,0.203022,32,695.697098,22,49,18-02-2026
NOLSM57344666,2,Oxidation,dry,887.812321,O2,38.018358,0.205082,30,713.605386,22,50,18-02-2026
NOLSM370051231969,2,Oxidation,dry,879.215134,O2,39.915927,0.203034,28,712.23814,22,51,18-02-2026
NOLSM21872425,2,Oxidation,dry,887.748051,O2,35.618694,0.211937,31,713.585139,22,52,18-02-2026
NOLSM197520411896,2,Oxidation,dry,883.432658,O2,28.591523,0.211955,30,713.721073,22,53,18-02-2026
NOLSM091621577154,2,Oxidation,dry,890.124969,O2,34.551785,0.205028,27,712.724408,22,54,18-02-2026
NOLSM19289784466,1,Oxidation,dry,1058.079666,O2,32.411933,0.209021,114,707.499236,2,1,18-02-2026
NOLSM47617190,1,Oxidation,wet,1241.376334,H2O,37.474975,0.204021,106,707.263879,2,2,18-02-2026
NOLSM2252672802,1,Oxidation,wet,1096.208309,H2O,32.901055,0.206078,165,714.23683,2,3,18-02-2026
NOLSM26431626961,1,Oxidation,dry,1132.127751,O2,32.375307,0.201111,174,704.326678,2,4,18-02-2026
NOLSM347421556,1,Oxidation,wet,1022.441406,H2O,37.897948,0.204017,75,699.520296,2,5,18-02-2026
NOLSM70552840692,1,Oxidation,wet,1102.13128,H2O,31.65708,0.210014,167,702.702255,2,6,18-02-2026
NOLSM935738799,2,Oxidation,wet,1158.851731,H2O,30.599623,0.202045,151,706.315535,2,7,18-02-2026
NOLSM467425478,2,Oxidation,dry,1041.298347,O2,35.863292,0.220988,113,713.03818,2,8,18-02-2026
NOLSM53383784,2,Oxidation,dry,1130.979179,O2,42.878982,0.198983,64,703.955414,2,9,18-02-2026
NOLSM524419586718,2,Oxidation,dry,1009.446317,O2,27.051419,0.199984,113,711.416152,2,10,18-02-2026
NOLSM9463679934,2,Oxidation,wet,1096.741973,H2O,39.318726,0.193048,147,723.362516,2,11,18-02-2026
NOLSM2472490120,2,Oxidation,wet,909.870126,H2O,29.121277,0.215014,128,713.184607,2,12,18-02-2026
NOLSM884343467137,2,Oxidation,dry,1166.775835,O2,27.432744,0.200939,68,708.211278,2,13,18-02-2026
NOLSM45748372,2,Oxidation,wet,1031.019687,H2O,34.15509,0.204977,129,709.438213,2,14,18-02-2026
NOLSM796031162255,2,Oxidation,wet,1180.439327,H2O,37.924547,0.211982,179,702.833922,2,15,18-02-2026
NOLSM05683952,3,Oxidation,dry,1030.409623,O2,33.790188,0.213029,55,705.460436,2,16,18-02-2026
NOLSM380462110426,3,Oxidation,wet,1154.305224,H2O,33.014828,0.20501,121,694.940414,2,17,18-02-2026
NOLSM81793586,3,Oxidation,wet,985.409239,H2O,35.102094,0.20996,125,699.611809,2,18,18-02-2026
NOLSM801229345,3,Oxidation,wet,1140.751077,H2O,25.200288,0.194988,186,709.374295,2,19,18-02-2026
NOLSM75984635,3,Oxidation,wet,1182.86914,H2O,32.338442,0.225029,178,703.434773,2,20,18-02-2026
NOLSM357418336995,3,Oxidation,dry,1225.615944,O2,31.02913,0.202022,135,693.972304,2,21,18-02-2026
NOLSM52652094916,3,Oxidation,dry,1189.751898,O2,44.360648,0.209921,91,712.091953,2,22,18-02-2026
NOLSM635015133989,3,Oxidation,wet,1079.996766,H2O,32.514951,0.193,90,707.62434,2,23,18-02-2026
NOLSM04225373732,3,Oxidation,dry,1140.27828,O2,37.345208,0.20505,86,706.746482,2,24,18-02-2026
NOLSM499077793892,1,Oxidation,dry,1070.728156,O2,35.197071,0.209921,56,714.844919,2,25,18-02-2026
NOLSM33572776,1,Oxidation,wet,1034.23448,H2O,39.824798,0.219975,126,697.440858,2,26,18-02-2026
NOLSM119757205184,1,Oxidation,dry,1162.310932,O2,38.496959,0.211972,107,716.664507,2,27,18-02-2026
NOLSM975289393123,3,Oxidation,dry,871.982967,O2,22.101225,0.215961,223,713.081894,22,1,18-02-2026
NOLSM277913700310,3,Oxidation,dry,871.344324,O2,22.233494,0.215003,222,711.564319,22,2,18-02-2026
NOLSM321728948,3,Oxidation,dry,871.746765,O2,22.120091,0.21599,223,712.397595,22,3,18-02-2026
NOLSM4958711444,3,Oxidation,dry,869.923022,O2,22.136732,0.215953,223,713.059302,22,4,18-02-2026
NOLSM74094030550,3,Oxidation,dry,870.636044,O2,22.089912,0.216966,224,713.248159,22,5,18-02-2026
NOLSM73102699746,3,Oxidation,dry,873.105041,O2,22.131187,0.217043,224,713.632116,22,6,18-02-2026
NOLSM354516785,1,Oxidation,dry,871.963457,O2,22.150423,0.217097,224,713.980245,22,7,18-02-2026
NOLSM085398012011,1,Oxidation,dry,871.867629,O2,22.175292,0.216994,224,713.594076,22,8,18-02-2026
NOLSM584898182,1,Oxidation,dry,872.177932,O2,22.140843,0.218035,225,714.438604,22,9,18-02-2026
NOLSM2867687314,1,Oxidation,dry,870.656483,O2,22.114194,0.215974,223,712.846377,22,10,18-02-2026
NOLSM314507147,1,Oxidation,dry,869.845099,O2,22.199954,0.216895,224,713.271128,22,11,18-02-2026
NOLSM250076992770,1,Oxidation,dry,871.866085,O2,22.20512,0.219048,226,715.193828,22,12,18-02-2026
NOLSM611146338,1,Oxidation,dry,872.393693,O2,22.15043,0.217988,225,714.115035,22,13,18-02-2026
NOLSM869379226,1,Oxidation,dry,872.732422,O2,22.184508,0.217027,224,713.535892,22,14,18-02-2026
NOLSM833002683155,1,Oxidation,dry,871.533763,O2,22.143404,0.216944,224,713.303551,22,15,18-02-2026
NOLSM37218579,2,Oxidation,dry,873.35603,O2,22.223492,0.214025,221,710.623832,22,16,18-02-2026
NOLSM00486612,2,Oxidation,dry,873.238658,O2,22.150284,0.214007,221,711.099218,22,17,18-02-2026
NOLSM19846845370,2,Oxidation,dry,872.780268,O2,22.222261,0.213957,221,710.907506,22,18,18-02-2026
NOLSM49812742,2,Oxidation,dry,871.77953,O2,22.290959,0.215008,222,711.818482,22,19,18-02-2026
NOLSM451512100834,2,Oxidation,dry,872.642726,O2,22.249975,0.216069,223,712.694264,22,20,18-02-2026
NOLSM619839907,2,Oxidation,dry,872.785683,O2,22.229872,0.216043,223,713.053528,22,21,18-02-2026
NOLSM62844282188,2,Oxidation,dry,872.595545,O2,22.289897,0.215009,222,712.093338,22,22,18-02-2026
NOLSM339587925,2,Oxidation,dry,870.871584,O2,22.234174,0.217056,224,713.569091,22,23,18-02-2026
NOLSM652831825410,3,Oxidation,dry,872.830999,O2,22.202663,0.215991,223,712.193968,22,24,18-02-2026
NOLSM26889578,3,Oxidation,dry,871.092018,O2,22.173503,0.216977,224,713.471514,22,25,18-02-2026
NOLSM5466805439,3,Oxidation,dry,869.441765,O2,22.20079,0.216947,224,713.688349,22,26,18-02-2026
NOLSM03963090094,3,Oxidation,dry,871.486055,O2,22.164074,0.215957,223,712.751415,22,27,18-02-2026
NOLSM71839443,1,Oxidation,dry,1151.144909,O2,38.452011,0.203,96,715.102283,3,28,19-02-2026
NOLSM501337835338,1,Oxidation,dry,942.332522,O2,40.542382,0.198952,86,710.597335,3,29,19-02-2026
NOLSM58266014756,1,Oxidation,wet,1215.873932,H2O,31.62177,0.188027,64,709.410827,3,30,19-02-2026
NOLSM5825649775,1,Oxidation,dry,1133.645157,O2,26.250362,0.211039,118,712.539152,3,31,19-02-2026
NOLSM6639329642,1,Oxidation,wet,1098.181901,H2O,48.453663,0.213013,205,711.336946,3,32,19-02-2026
NOLSM55196693533,1,Oxidation,dry,1142.619477,O2,29.899792,0.207983,105,715.527351,3,33,19-02-2026
NOLSM61545772,1,Oxidation,dry,1063.665751,O2,36.858643,0.200918,160,709.672051,3,34,19-02-2026
NOLSM56869800,1,Oxidation,wet,1046.505095,H2O,31.580741,0.204928,116,706.772435,3,35,19-02-2026
NOLSM8004713503,1,Oxidation,wet,1005.980577,H2O,39.280621,0.195957,104,702.795974,3,36,19-02-2026
NOLSM88579397215,1,Oxidation,dry,1101.776101,O2,38.64046,0.212995,241,714.820613,3,37,19-02-2026
NOLSM709269394700,1,Oxidation,dry,1133.994581,O2,38.755905,0.206994,209,700.4163,3,38,19-02-2026
NOLSM68379614882,1,Oxidation,dry,1170.148838,O2,35.55247,0.219027,125,708.796474,3,39,19-02-2026
NOLSM2165463488,1,Oxidation,dry,983.958022,O2,35.263554,0.217006,81,709.772836,3,40,19-02-2026
NOLSM51285741651,1,Oxidation,dry,975.074478,O2,28.5689,0.209944,0,699.587701,3,41,19-02-2026
NOLSM703010550337,1,Oxidation,dry,1130.614985,O2,30.864854,0.20203,156,716.985421,3,42,19-02-2026
NOLSM439374293,1,Oxidation,dry,1137.023538,O2,35.707945,0.21098,170,703.479951,3,43,19-02-2026
NOLSM59351487,1,Oxidation,dry,1098.558585,O2,31.036486,0.215965,29,713.440421,3,44,19-02-2026
NOLSM0927241094,1,Oxidation,wet,1115.163535,H2O,37.460584,0.205047,68,693.730823,3,45,19-02-2026
NOLSM518114835138,1,Oxidation,wet,1164.098484,H2O,31.327343,0.189027,81,718.242199,3,46,19-02-2026
NOLSM033032193,1,Oxidation,dry,999.577387,O2,34.779003,0.20504,109,708.619955,3,47,19-02-2026
NOLSM70117381,1,Oxidation,dry,1100.349768,O2,41.204262,0.206004,82,703.058521,3,48,19-02-2026
NOLSM02580416347,1,Oxidation,wet,995.669916,H2O,39.59495,0.223954,136,700.309423,3,49,19-02-2026
NOLSM249342875,1,Oxidation,dry,1154.511465,O2,37.504875,0.203063,166,713.846042,3,50,19-02-2026
NOLSM36943872,1,Oxidation,wet,1019.612807,H2O,34.935789,0.206992,210,719.132056,3,51,19-02-2026
NOLSM36005968689,1,Oxidation,dry,1072.964538,O2,30.033785,0.197963,114,715.902052,3,52,19-02-2026
NOLSM76224696,1,Oxidation,wet,1083.462123,H2O,30.354234,0.193983,77,715.924106,3,53,19-02-2026
NOLSM70314533,1,Oxidation,dry,1015.727037,O2,44.378077,0.21501,218,710.96339,3,54,19-02-2026
NOLSM3136035778,2,Oxidation,dry,891.392298,O2,34.912634,0.21601,27,713.068464,23,28,19-02-2026
NOLSM121850266426,2,Oxidation,dry,877.995067,O2,22.201907,0.217958,27,714.295967,23,29,19-02-2026
NOLSM525671157400,2,Oxidation,dry,890.626285,O2,22.260408,0.217956,24,714.838535,23,30,19-02-2026
NOLSM839071100,2,Oxidation,dry,887.405905,O2,22.18076,0.217975,23,714.740514,23,31,19-02-2026
NOLSM05634339,2,Oxidation,dry,875.495389,O2,22.246921,0.219021,23,715.172949,23,32,19-02-2026
NOLSM59966765,2,Oxidation,dry,888.844064,O2,22.277994,0.218961,23,715.230223,23,33,19-02-2026
NOLSM72823957295,2,Oxidation,dry,887.409667,O2,22.169316,0.218047,24,714.45018,23,34,19-02-2026
NOLSM448688553714,2,Oxidation,dry,887.58849,O2,22.242283,0.216987,25,713.191587,23,35,19-02-2026
NOLSM91051346,2,Oxidation,dry,874.150435,O2,22.261883,0.211,25,708.082579,23,36,19-02-2026
NOLSM043696733,2,Oxidation,dry,876.942851,O2,22.180984,0.209014,25,705.982494,23,37,19-02-2026
NOLSM442447674,2,Oxidation,dry,882.899177,O2,22.203313,0.209949,25,706.495568,23,38,19-02-2026
NOLSM17810520578,2,Oxidation,dry,892.75659,O2,22.253162,0.208981,25,705.997182,23,39,19-02-2026
NOLSM550426854684,2,Oxidation,dry,886.819391,O2,22.264399,0.208053,25,704.673189,23,40,19-02-2026
NOLSM934623817846,2,Oxidation,dry,873.542815,O2,22.238311,0.209032,27,705.78511,23,41,19-02-2026
NOLSM78907259,2,Oxidation,dry,886.007848,O2,22.25053,0.210022,28,707.246997,23,42,19-02-2026
NOLSM766685585661,2,Oxidation,dry,886.400687,O2,22.222742,0.210072,32,706.872337,23,43,19-02-2026
NOLSM753670933985,2,Oxidation,dry,882.534645,O2,22.206937,0.209098,32,706.513691,23,44,19-02-2026
NOLSM07844977435,2,Oxidation,dry,890.733179,O2,22.198537,0.207055,32,703.876994,23,45,19-02-2026
NOLSM478088594,2,Oxidation,dry,874.756844,O2,22.255881,0.207945,32,704.915548,23,46,19-02-2026
NOLSM7889270641,2,Oxidation,dry,883.394001,O2,22.176889,0.206928,31,703.990994,23,47,19-02-2026
NOLSM742062613,2,Oxidation,dry,874.855763,O2,22.080705,0.209074,32,705.594377,23,48,19-02-2026
NOLSM347192948,2,Oxidation,dry,874.022939,O2,22.191648,0.208994,31,705.58539,23,49,19-02-2026
NOLSM483948344,2,Oxidation,dry,878.875939,O2,22.243803,0.211934,34,708.435807,23,50,19-02-2026
NOLSM34565016291,2,Oxidation,dry,886.933626,O2,22.229926,0.210052,33,707.047761,23,51,19-02-2026
NOLSM3452022536,2,Oxidation,dry,875.748259,O2,22.24948,0.211954,32,708.802078,23,52,19-02-2026
NOLSM137592912001,2,Oxidation,dry,888.352035,O2,22.276772,0.212019,32,708.827431,23,53,19-02-2026
NOLSM8786646340,2,Oxidation,dry,877.579218,O2,22.227712,0.212963,32,709.953249,23,54,19-02-2026
NOLSM3211707850,1,Oxidation,dry,1136.378049,O2,38.441091,0.202992,96,715.095777,3,1,19-02-2026
NOLSM648641318,1,Oxidation,dry,934.202877,O2,40.422834,0.198977,86,710.562154,3,2,19-02-2026
NOLSM110871143,1,Oxidation,wet,1210.652193,H2O,31.513125,0.187983,64,709.490844,3,3,19-02-2026
NOLSM773383982,1,Oxidation,dry,1119.417081,O2,26.368633,0.210979,118,712.623421,3,4,19-02-2026
